Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5
1804010000,3,3,3,2,1
1804010001,4,3,3,2,1
1804010002,4,3,3,2,1
1804010003,3,3,3,2,1
1804010004,4,3,3,2,1
1804010005,4,3,3,2,1
1804010006,4,3,3,2,1
1804010007,4,3,3,2,1
1804010008,4,3,3,2,1
1804010009,4,3,3,2,1
1804010010,4,3,3,2,1
1804010011,4,3,3,2,1
1804010012,4,3,3,2,1
1804010013,4,3,3,2,1
1804010014,4,3,3,2,1
1804010015,4,3,3,2,1
1804010016,4,3,3,2,1
1804010017,4,3,3,2,1
1804010018,4,3,3,2,1
1804010019,3,3,3,2,2
1804010020,3,3,3,2,2
1804010021,3,3,2,2,2
1804010022,3,3,2,2,2
1804010023,3,3,2,2,2
1804010024,2,3,2,2,1
1804010025,3,3,3,2,1
1804010026,2,3,2,1,1
1804010027,2,2,2,1,1
1804010028,3,2,2,2,1
1804010029,3,2,2,2,1
1804010030,3,2,2,2,1
1804010031,3,2,2,2,1
1804010032,3,2,2,1,1
1804010033,3,2,2,1,1
1804010034,4,2,2,1,1
1804010035,3,2,2,1,1
1804010036,3,2,2,1,1
1804010037,3,2,3,1,2
1804010038,3,2,3,1,2
1804010039,3,2,3,1,2
1804010040,3,2,3,1,2
1804010041,3,2,3,1,2
1804010042,3,2,3,1,2
1804010043,3,2,2,1,2
1804010044,3,2,2,1,3
1804010045,3,2,2,1,3
1804010046,3,2,2,1,3
1804010047,4,2,2,1,3
1804010048,3,2,2,1,2
1804010049,3,2,2,1,2
1804010050,3,2,3,1,2
1804010051,3,2,3,1,2
1804010052,3,2,2,1,2
1804010053,3,2,2,1,2
1804010054,3,2,2,1,2
1804010055,3,2,2,1,2
1804010056,3,2,2,1,2
1804010057,3,2,2,1,2
1804010058,3,2,2,1,1
1804010059,3,2,2,1,1
1804010100,3,2,2,1,1
1804010101,3,2,2,1,1
1804010102,3,2,2,1,1
1804010103,3,2,2,1,1
1804010104,3,2,2,1,1
1804010105,3,2,2,2,1
1804010106,2,2,2,1,1
1804010107,2,2,2,1,1
1804010108,2,2,2,1,1
1804010109,2,2,2,1,1
1804010110,3,2,2,1,1
1804010111,3,2,2,1,1
1804010112,3,2,2,1,2
1804010113,2,2,2,1,2
1804010114,3,2,3,1,2
1804010115,2,2,2,1,2
1804010116,2,2,2,1,2
1804010117,3,2,2,1,2
1804010118,3,2,2,1,2
1804010119,3,2,2,1,1
1804010120,3,2,2,1,1
1804010121,3,2,2,1,1
1804010122,3,2,2,1,1
1804010123,3,2,2,1,1
1804010124,3,2,2,1,1
1804010125,3,2,2,1,1
1804010126,3,2,2,1,1
1804010127,3,2,2,1,1
1804010128,3,2,2,1,1
1804010129,3,2,2,1,1
1804010130,3,2,2,1,1
1804010131,2,2,3,1,1
1804010132,3,2,3,1,1
1804010133,3,1,3,1,1
1804010134,3,1,3,1,1
1804010135,3,2,2,1,1
1804010136,3,1,2,1,1
1804010137,3,1,2,1,1
1804010138,3,1,2,1,1
1804010139,2,1,2,1,1
1804010140,3,1,2,1,1
1804010141,3,1,2,1,1
1804010142,3,1,2,1,1
1804010143,2,1,2,1,1
1804010144,3,1,2,1,1
1804010145,3,1,2,1,1
1804010146,3,1,2,1,1
1804010147,3,1,2,1,1
1804010148,3,1,2,1,1
1804010149,3,1,2,1,1
1804010150,3,1,2,1,1
1804010151,3,1,2,1,1
1804010152,2,2,2,1,1
1804010153,2,2,2,1,1
1804010154,2,1,2,1,1
1804010155,2,1,2,1,1
1804010156,2,1,2,1,1
1804010157,2,1,2,1,1
1804010158,2,1,2,1,2
1804010159,2,1,2,1,2
1804010200,2,1,2,1,3
1804010201,2,1,2,0,2
1804010202,2,1,2,0,2
1804010203,2,1,2,0,2
1804010204,2,1,2,1,2
1804010205,2,1,2,0,2
1804010206,2,1,2,0,1
1804010207,2,1,2,1,1
1804010208,2,1,2,0,1
1804010209,2,1,2,0,1
1804010210,2,1,2,0,1
1804010211,2,1,2,0,1
1804010212,2,1,2,1,1
1804010213,2,1,2,1,1
1804010214,2,1,2,1,1
1804010215,2,1,2,1,1
1804010216,2,1,2,1,1
1804010217,3,1,2,1,1
1804010218,3,1,2,1,1
1804010219,3,1,2,1,1
1804010220,3,1,2,1,1
1804010221,2,1,2,1,2
1804010222,2,1,2,0,2
1804010223,2,1,2,0,2
1804010224,2,1,2,0,2
1804010225,2,1,2,0,2
1804010226,2,1,2,1,1
1804010227,2,1,2,0,1
1804010228,2,1,2,0,1
1804010229,2,1,2,0,1
1804010230,2,1,2,0,1
1804010231,2,1,2,0,1
1804010232,2,1,2,0,1
1804010233,2,1,2,0,1
1804010234,2,1,3,0,1
1804010235,2,1,3,0,1
1804010236,2,1,3,0,1
1804010237,2,1,3,0,1
1804010238,2,1,3,0,1
1804010239,2,1,3,0,1
1804010240,2,1,3,0,1
1804010241,2,1,2,0,1
1804010242,1,1,2,0,1
1804010243,1,1,2,0,1
1804010244,1,1,2,0,1
1804010245,1,1,2,0,1
1804010246,1,1,2,0,1
1804010247,1,1,2,0,1
1804010248,1,1,2,0,1
1804010249,1,1,2,0,1
1804010250,2,1,2,0,1
1804010251,2,1,2,0,1
1804010252,2,1,2,0,1
1804010253,2,1,2,0,1
1804010254,2,1,2,0,1
1804010255,2,1,2,0,1
1804010256,2,1,2,0,2
1804010257,2,1,2,0,2
1804010258,2,1,2,0,2
1804010259,2,1,2,0,2
1804010300,2,1,2,0,1
1804010301,2,1,2,0,1
1804010302,2,0,2,0,1
1804010303,2,1,2,0,1
1804010304,2,1,2,0,1
1804010305,2,1,2,0,1
1804010306,2,1,2,0,1
1804010307,1,1,3,0,1
1804010308,2,0,3,0,1
1804010309,2,0,3,0,1
1804010310,2,1,3,0,1
1804010311,2,1,3,0,1
1804010312,2,1,3,0,1
1804010313,2,1,3,0,1
1804010314,2,1,3,0,1
1804010315,2,1,3,0,1
1804010316,2,1,3,0,1
1804010317,2,1,2,0,1
1804010318,2,1,2,0,1
1804010319,2,1,2,0,1
1804010320,2,1,2,0,1
1804010321,2,1,2,0,1
1804010322,2,0,3,0,1
1804010323,2,0,3,0,1
1804010324,2,0,3,0,1
1804010325,2,0,3,0,1
1804010326,2,0,3,0,1
1804010327,2,0,3,0,1
1804010328,1,0,2,0,1
1804010329,1,0,3,0,1
1804010330,1,0,3,0,1
1804010331,2,0,2,0,1
1804010332,1,0,2,0,1
1804010333,2,0,2,0,1
1804010334,2,0,2,0,1
1804010335,2,0,2,0,1
1804010336,2,0,2,0,1
1804010337,2,0,2,0,1
1804010338,1,0,2,0,1
1804010339,1,0,2,0,1
1804010340,1,0,2,0,1
1804010341,1,0,2,0,1
1804010342,1,0,2,0,1
1804010343,1,0,2,0,1
1804010344,1,0,2,0,1
1804010345,1,0,2,0,1
1804010346,1,0,2,0,1
1804010347,1,0,2,0,1
1804010348,1,0,2,0,1
1804010349,1,0,2,0,1
1804010350,1,0,2,0,1
1804010351,1,0,2,0,1
1804010352,1,0,2,0,1
1804010353,1,0,2,0,1
1804010354,1,0,2,0,1
1804010355,1,0,2,0,1
1804010356,1,0,2,0,1
1804010357,1,0,2,0,1
1804010358,1,0,2,0,1
1804010359,1,0,3,0,1
1804010400,2,0,3,0,1
1804010401,1,0,2,0,1
1804010402,1,0,2,0,1
1804010403,1,0,2,0,1
1804010404,1,0,2,0,1
1804010405,2,0,2,0,1
1804010406,2,0,2,0,1
1804010407,2,0,2,0,1
1804010408,1,0,3,0,1
1804010409,2,0,3,0,1
1804010410,1,0,3,0,1
1804010411,1,0,3,0,1
1804010412,1,0,3,0,1
1804010413,1,0,3,0,1
1804010414,1,0,3,0,1
1804010415,1,0,3,0,1
1804010416,1,0,3,0,1
1804010417,1,0,2,0,1
1804010418,1,0,3,0,1
1804010419,1,0,3,0,1
1804010420,1,0,3,0,1
1804010421,1,0,3,0,1
1804010422,1,0,3,0,1
1804010423,2,0,3,0,1
1804010424,2,0,3,0,1
1804010425,1,0,3,0,1
1804010426,2,0,3,0,1
1804010427,1,0,3,0,1
1804010428,1,0,3,0,1
1804010429,1,0,3,0,1
1804010430,1,0,3,0,1
1804010431,1,0,3,0,1
1804010432,1,0,3,0,1
1804010433,1,0,3,0,1
1804010434,1,0,3,0,1
1804010435,1,0,3,0,1
1804010436,1,0,3,0,1
1804010437,2,0,3,0,1
1804010438,1,0,3,0,1
1804010439,2,0,3,0,1
1804010440,1,0,3,0,1
1804010441,2,0,2,0,1
1804010442,2,0,3,0,1
1804010443,2,0,3,0,1
1804010444,2,0,3,0,1
1804010445,2,0,3,0,1
1804010446,2,0,3,0,1
1804010447,1,0,3,0,1
1804010448,1,0,3,0,1
1804010449,1,0,3,0,1
1804010450,1,0,3,0,1
1804010451,1,0,3,0,1
1804010452,1,0,2,0,1
1804010453,1,0,2,1,1
1804010454,2,0,2,0,1
1804010455,1,0,2,0,1
1804010456,1,0,2,0,1
1804010457,2,0,2,0,1
1804010458,2,0,2,0,1
1804010459,1,0,2,0,1
1804010500,1,0,2,0,2
1804010501,1,0,2,0,2
1804010502,1,0,2,1,2
1804010503,1,0,2,1,2
1804010504,1,0,2,1,2
1804010505,1,0,2,0,1
1804010506,1,0,2,1,1
1804010507,1,0,2,0,1
1804010508,1,0,2,1,1
1804010509,1,0,2,1,1
1804010510,1,0,2,1,1
1804010511,1,0,2,1,1
1804010512,1,0,2,0,1
1804010513,1,0,2,0,1
1804010514,1,0,2,0,1
1804010515,1,0,2,0,1
1804010516,1,0,2,0,1
1804010517,1,0,2,0,1
1804010518,1,0,2,0,1
1804010519,1,0,2,0,1
1804010520,1,0,2,0,1
1804010521,1,0,2,0,1
1804010522,1,0,2,0,1
1804010523,1,0,2,0,1
1804010524,1,0,2,0,1
1804010525,1,0,3,1,1
1804010526,1,0,2,1,1
1804010527,1,0,3,1,1
1804010528,1,0,3,1,1
1804010529,1,0,3,0,1
1804010530,1,0,3,0,1
1804010531,1,0,3,1,1
1804010532,1,0,3,0,1
1804010533,1,0,3,0,1
1804010534,1,0,3,0,1
1804010535,1,0,3,1,1
1804010536,1,0,3,1,1
1804010537,1,0,2,1,1
1804010538,1,0,2,1,1
1804010539,1,0,2,1,1
1804010540,1,0,2,1,1
1804010541,1,0,2,1,1
1804010542,1,1,2,0,1
1804010543,1,1,2,1,1
1804010544,1,1,2,1,1
1804010545,1,1,2,1,1
1804010546,1,0,3,1,1
1804010547,1,0,3,1,1
