Image Path,Resolution,Detected Objects,Inference Time
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000000139.jpg,448x640,"1 person, 1 bottle, 3 chairs, 2 potted plants, 3 dining tables, 2 tvs, 3 refrigerators, 1 clock, 4 vases",414.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000000285.jpg,640x608,1 bear,437.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000000632.jpg,512x640,"1 bottle, 1 chair, 2 potted plants, 1 bed, 6 books, 1 vase",405.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000000724.jpg,640x480,"1 truck, 1 stop sign",402.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000000776.jpg,640x448,2 teddy bears,458.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000000785.jpg,448x640,"1 person, 1 skis",480.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000001296.jpg,640x448,"4 persons, 2 cell phones",458.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000001353.jpg,640x480,"4 persons, 1 suitcase, 1 chair",425.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000001425.jpg,512x640,"1 bowl, 1 sandwich",452.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000001490.jpg,320x640,1 person,566.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000001503.jpg,480x640,"1 tv, 1 laptop, 2 mouses, 2 keyboards, 1 cell phone",460.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000001532.jpg,480x640,"7 cars, 2 trucks, 1 traffic light",554.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003009.jpg,480x640,"3 cups, 2 bowls, 1 sink",435.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003024.jpg,512x640,"1 person, 1 cup, 2 bowls, 1 chair, 1 dining table, 1 refrigerator",520.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003032.jpg,480x640,1 clock,417.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003036.jpg,640x640,"1 bottle, 1 cup, 1 bowl, 1 sandwich",427.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003038.jpg,640x448,"6 persons, 1 bench, 2 elephants, 1 backpack",553.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003057.jpg,640x576,1 person,455.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003058.jpg,480x640,"1 person, 1 tie, 1 cell phone",457.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003062.jpg,448x640,"3 bottles, 3 cups, 2 bowls, 1 microwave, 2 sinks",460.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003065.jpg,640x480,"2 persons, 4 giraffes",551.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003079.jpg,448x640,"6 persons, 2 snowboards",433.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003081.jpg,480x640,"1 person, 1 sports ball",428.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003083.jpg,640x640,1 dog,449.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003086.jpg,480x640,"1 person, 1 car, 1 parking meter, 1 skateboard",439.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003090.jpg,448x640,"5 persons, 1 airplane, 2 backpacks, 3 handbags",463.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003098.jpg,480x640,5 cars,453.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003104.jpg,448x640,"1 dog, 1 clock",422.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003111.jpg,448x640,"1 person, 1 boat, 1 kite",434.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003136.jpg,448x640,"1 person, 1 tennis racket",513.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003188.jpg,448x640,2 zebras,425.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003191.jpg,352x640,(no detections),416.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003208.jpg,448x640,"12 persons, 3 airplanes",414.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003229.jpg,640x480,"1 person, 1 umbrella",479.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003257.jpg,480x640,"1 cat, 1 tv, 1 keyboard",472.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003327.jpg,640x480,"2 persons, 1 book",432.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003359.jpg,640x448,"4 persons, 1 car, 1 stop sign, 1 umbrella",557.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003367.jpg,640x480,"2 chairs, 1 bed, 1 clock",224.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003376.jpg,480x640,"14 persons, 3 umbrellas, 5 kites, 8 chairs",509.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003384.jpg,640x480,"1 person, 1 kite",409.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003390.jpg,480x640,"3 bottles, 2 cups, 1 spoon, 1 tv, 2 laptops, 1 mouse, 2 keyboards, 2 cell phones, 1 book",484.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003406.jpg,480x640,4 traffic lights,449.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003407.jpg,640x480,"1 cup, 1 fork, 1 cake, 1 dining table",474.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003413.jpg,480x640,"1 bench, 2 cats",466.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003434.jpg,480x640,1 dog,414.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003440.jpg,640x448,"2 persons, 6 motorcycles",410.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003445.jpg,448x640,"4 persons, 2 cups, 2 chairs, 1 couch, 1 potted plant",524.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003452.jpg,448x640,"5 persons, 2 wine glasss, 2 cups, 2 chairs, 1 dining table, 3 remotes",406.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003469.jpg,448x640,"2 persons, 1 tv, 1 mouse, 2 remotes, 2 books",433.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003486.jpg,384x640,"2 persons, 2 kites",438.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003487.jpg,640x448,"2 cars, 1 motorcycle, 1 truck",426.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003492.jpg,480x640,"4 chairs, 1 couch, 1 bed",427.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003572.jpg,480x640,"1 sandwich, 3 pizzas, 1 dining table",465.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003581.jpg,480x640,"2 persons, 1 giraffe, 1 sports ball",438.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003618.jpg,448x640,"2 persons, 1 sports ball, 1 teddy bear",449.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003630.jpg,416x640,"1 bus, 1 truck",438.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003636.jpg,480x640,"12 donuts, 4 cakes, 1 dining table",487.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003648.jpg,448x640,1 boat,349.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003702.jpg,480x640,"20 persons, 4 benchs, 2 chairs, 1 dining table",480.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003720.jpg,640x448,"1 person, 1 umbrella, 1 handbag",476.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003748.jpg,480x640,"1 cup, 1 sink, 2 toothbrushs",489.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003750.jpg,448x640,"1 person, 1 dog, 7 chairs, 1 potted plant, 1 clock, 1 vase",420.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003759.jpg,448x640,1 bus,424.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003773.jpg,480x640,1 skateboard,465.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003780.jpg,480x640,1 vase,468.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003805.jpg,448x640,"1 bird, 2 zebras",557.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003853.jpg,640x480,3 cars,403.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003878.jpg,640x480,"1 person, 2 elephants, 1 banana",419.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003880.jpg,480x640,"1 person, 2 cars, 1 bus, 1 truck, 3 chairs",476.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003882.jpg,448x640,"1 person, 1 bench",443.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003884.jpg,448x640,1 train,443.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003887.jpg,448x640,(no detections),446.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003896.jpg,640x480,2 giraffes,437.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003900.jpg,448x640,"1 bench, 1 dog",449.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003901.jpg,448x640,"1 wine glass, 1 sandwich, 1 broccoli, 1 dining table",558.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003903.jpg,576x640,"5 persons, 1 frisbee, 1 skateboard",465.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003905.jpg,448x640,2 sheeps,451.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003907.jpg,448x640,"4 persons, 8 cars, 1 bus",446.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003923.jpg,480x640,2 trains,434.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003946.jpg,352x640,"7 persons, 3 baseball bats, 1 baseball glove",486.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003969.jpg,480x640,"1 bench, 1 teddy bear",502.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003975.jpg,448x640,"2 persons, 11 sheeps",425.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003989.jpg,416x640,"1 person, 1 bowl, 1 chair, 1 bed, 1 tv, 1 laptop",422.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000003990.jpg,640x448,"1 person, 1 surfboard",505.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004000.jpg,480x640,2 sinks,414.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004001.jpg,448x640,"12 persons, 1 frisbee, 3 surfboards",480.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004031.jpg,640x640,1 clock,438.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004035.jpg,640x448,"9 persons, 1 skis",422.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004036.jpg,480x640,"2 persons, 1 bed, 1 teddy bear",435.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004040.jpg,640x480,"1 tv, 1 laptop, 1 mouse",463.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004053.jpg,448x640,1 airplane,435.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004072.jpg,448x640,"6 persons, 2 cars, 1 frisbee",470.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004082.jpg,640x480,"1 donut, 20 cakes",452.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004113.jpg,448x640,"2 persons, 1 car, 1 traffic light",455.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004121.jpg,448x640,"1 train, 1 boat",451.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004126.jpg,640x480,1 toilet,600.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004127.jpg,448x640,1 clock,241.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004158.jpg,448x640,8 birds,452.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004163.jpg,640x480,1 cell phone,394.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004164.jpg,448x640,"4 persons, 1 sports ball, 1 baseball bat, 1 baseball glove",432.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004165.jpg,448x640,"1 person, 2 surfboards",452.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004177.jpg,640x640,"2 bottles, 4 cups, 3 spoons, 1 bowl, 2 cakes, 1 dining table, 1 tv, 1 microwave",414.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004183.jpg,640x448,1 train,395.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004200.jpg,640x480,"2 persons, 1 chair, 1 remote",479.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004235.jpg,448x640,"1 person, 2 mouses, 1 keyboard, 1 teddy bear",460.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004236.jpg,448x640,8 elephants,513.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004305.jpg,448x640,"6 persons, 1 cup, 2 bowls",486.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004311.jpg,480x640,"1 fork, 1 bowl, 4 bananas",430.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004335.jpg,640x448,"7 persons, 2 skateboards",426.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004336.jpg,448x640,"1 cat, 2 chairs, 1 bed, 2 books",431.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004348.jpg,640x640,"1 person, 1 bottle, 7 cups, 3 bowls",433.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004366.jpg,480x640,"1 cat, 1 chair, 1 potted plant, 1 tv, 12 books",480.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004398.jpg,448x640,"2 persons, 1 skateboard",440.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004411.jpg,448x640,2 airplanes,404.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004413.jpg,448x640,"1 person, 1 wine glass",509.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004422.jpg,480x640,"1 book, 1 clock",462.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004427.jpg,448x640,"1 truck, 6 cows",471.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004432.jpg,448x640,"1 person, 1 baseball bat",426.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004440.jpg,448x640,"1 person, 1 skis",483.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000004446.jpg,512x640,"1 person, 1 wine glass, 1 bowl, 2 donuts, 1 dining table",520.1ms
