Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Files Processed Per Script,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Peak GPU Usage (%),Peak GPU Memory (MB),Average CPU Usage Per Core,Number of Cores Used,Average GPU Clock (MHz),Total RAM (GB),Total CPU Cores,Total GPU Memory (GB),CPU Model,GPU Model
1,s,0.03219625925925926,18.15119171142578,Speech,0.032196,18.151,54,,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12292.6640625,79,3261.6875,"13.4, 17.8, 5.7, 5.5, 4.5, 41.6, 9.9, 4.3, 45.6, 1.9, 6.8, 38.3, 62.6, 1.3, 2.9, 7.7, 8.1, 7.0, 1.9, 2.6, 5.5, 58.2, 3.9, 5.2, 8.3, 2.9, 1.1, 9.3, 38.8, 1.8, 1.4, 16.8",20,2603.6776859504134,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,d,0.002617456692913386,7.662336111068726,Detect,0.002617,7.662,508,307200,,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,11520.58984375,42,1619.6875,"48.2, 32.7, 7.3, 2.4, 3.7, 30.2, 2.1, 5.9, 33.4, 2.0, 1.6, 2.1, 48.5, 10.1, 56.1, 5.8, 2.4, 0.0, 4.3, 1.8, 7.3, 52.6, 1.9, 0.0, 5.6, 0.0, 2.4, 3.5, 51.4, 0.7, 2.5, 17.5",15,2713.235294117647,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,p,0.0029029094488188974,7.957627534866333,Predict,0.002903,7.958,508,307200,,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,11567.69921875,25,1667.6875,"8.4, 0.5, 24.0, 5.6, 0.7, 5.7, 18.9, 4.2, 8.4, 7.4, 1.7, 6.0, 74.3, 0.3, 2.5, 42.6, 4.6, 4.7, 1.9, 3.4, 4.2, 12.2, 50.6, 95.9, 24.5, 8.0, 7.1, 6.2, 6.5, 7.6, 5.7, 13.7",21,2565.0,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,ss,0.03667246296296296,18.314672231674194,"Speech, Speech","0.018209, 0.018463","8.803, 9.511","54, 54",,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12219.203125,85,3261.6875,"23.2, 4.5, 36.0, 7.0, 3.1, 3.6, 23.3, 2.4, 40.1, 9.6, 3.1, 2.8, 22.5, 4.2, 4.6, 17.3, 46.6, 3.0, 16.1, 3.1, 5.2, 2.9, 14.6, 53.4, 60.1, 16.4, 2.4, 2.5, 7.0, 4.1, 5.9, 24.2",18,2670.122950819672,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sd,0.021368292432195974,20.220833778381348,"Speech, Detect","0.018617, 0.002751","12.727, 7.493","54, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12156.359375,79,3261.6875,"22.5, 12.8, 27.0, 2.2, 1.1, 3.6, 19.4, 1.4, 22.6, 55.5, 5.5, 2.3, 6.0, 2.0, 3.0, 2.3, 73.4, 1.2, 5.8, 0.3, 4.5, 13.8, 16.5, 2.0, 56.9, 40.0, 0.8, 5.4, 9.8, 2.8, 0.1, 8.6",17,2689.0,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sp,0.021786462160979875,19.06181764602661,"Speech, Predict","0.018925, 0.002861","11.093, 7.969","54, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12226.0234375,81,3261.6875,"49.0, 51.5, 5.9, 3.5, 4.4, 1.4, 8.8, 2.4, 10.1, 40.9, 18.3, 3.0, 1.5, 1.7, 2.9, 13.4, 50.1, 5.5, 4.3, 1.6, 3.5, 0.7, 17.7, 1.7, 31.5, 48.9, 35.0, 2.5, 1.5, 2.8, 0.9, 9.1",15,2710.511811023622,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,ds,0.020059146252551764,17.14712619781494,"Detect, Speech","0.002498, 0.017561","7.074, 10.073","508, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12179.3125,84,3261.6875,"29.6, 45.5, 6.0, 1.0, 28.3, 1.1, 2.5, 13.1, 47.1, 22.2, 44.6, 58.7, 4.8, 2.5, 2.3, 15.4, 5.1, 2.8, 57.0, 2.9, 8.3, 4.1, 1.1, 9.6, 4.4, 1.3, 2.7, 0.4, 2.1, 2.3, 1.9, 9.0",15,2682.1052631578946,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,dd,0.005131490157480314,14.42551040649414,"Detect, Detect","0.002594, 0.002537","7.254, 7.172","508, 508",307200,,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,11516.16015625,54,1619.6875,"30.6, 52.5, 5.9, 34.3, 1.0, 1.4, 32.9, 5.6, 49.9, 0.0, 3.0, 37.9, 48.0, 5.4, 3.7, 3.3, 18.5, 3.4, 15.8, 12.4, 2.1, 0.9, 0.3, 2.7, 40.1, 0.0, 0.2, 6.8, 18.6, 4.3, 0.0, 6.0",17,2775.0,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,dp,0.005538537401574803,15.312182426452637,"Detect, Predict","0.002526, 0.003013","7.139, 8.173","508, 508",307200,,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,11617.66796875,49,1667.6875,"6.6, 35.7, 3.0, 15.1, 11.0, 1.7, 29.3, 2.6, 39.2, 0.0, 0.9, 0.7, 82.1, 7.1, 3.7, 8.3, 9.4, 60.4, 2.7, 7.4, 18.8, 2.8, 18.1, 2.8, 45.5, 0.5, 2.1, 0.4, 18.8, 6.2, 0.3, 2.7",17,2766.176470588235,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,ps,0.02167230796150481,17.790584325790405,"Predict, Speech","0.002787, 0.018886","7.919, 9.872","508, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12198.58203125,55,3261.6875,"12.7, 34.6, 2.6, 7.5, 2.3, 5.2, 80.4, 32.7, 51.2, 37.2, 3.9, 2.5, 18.7, 6.3, 2.2, 4.2, 2.5, 18.8, 4.6, 6.8, 3.4, 3.1, 1.5, 22.2, 24.9, 0.8, 1.6, 0.6, 33.7, 3.0, 3.7, 9.6",16,2764.4491525423728,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,pd,0.0059346358267716535,15.837751150131226,"Predict, Detect","0.003087, 0.002848","8.289, 7.548","508, 508",307200,,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,11597.9609375,50,1667.6875,"24.5, 11.9, 4.2, 37.2, 1.7, 1.1, 0.9, 3.7, 40.1, 62.3, 2.0, 0.2, 18.1, 2.8, 2.3, 2.5, 69.1, 46.0, 2.7, 5.3, 3.4, 3.0, 0.8, 2.0, 55.3, 17.6, 0.0, 0.0, 2.5, 4.5, 0.0, 4.3",11,2786.8867924528304,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
