Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Num Files Processed,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Average CPU Usage Per Core,Number of Cores Used,Peak CPU Usage (%),Average CPU Clock (MHz),Total RAM (GB),Total CPU Cores,CPU Model,Device
1,s,0.4326075925925926,36.70361542701721,Speech,0.432608,36.704,54,,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4846.56640625,"18.1, 59.1, 40.5, 44.3, 25.2, 24.0, 53.3, 39.0, 54.4, 10.7, 44.0, 30.4, 45.8, 45.7, 17.0, 31.5",16,81.5,2.6119112569060774,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,d,0.051434236,33.10563135147095,Detect,0.051434,33.106,500,286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3504.76953125,"56.1, 61.7, 44.0, 58.5, 22.1, 54.1, 44.9, 57.1, 38.1, 32.9, 54.0, 43.0, 72.2, 39.0, 50.6, 36.0",16,69.5,2.6132576219512194,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,p,0.06877988,47.46084403991699,Predict,0.068780,47.461,500,286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3235.6015625,"44.1, 81.1, 62.8, 52.0, 66.5, 65.7, 35.4, 70.7, 56.3, 18.0, 37.6, 53.9, 32.0, 32.8, 63.1, 29.0",16,91.4,2.5784903433476396,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ss,0.897298537037037,64.19824194908142,"Speech, Speech","0.449950, 0.447349","32.200, 31.998","54, 54",,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4578.21875,"29.3, 62.4, 53.9, 50.2, 31.0, 47.3, 74.8, 58.5, 50.9, 16.8, 34.3, 38.2, 49.1, 33.6, 5.0, 21.0",16,69.1,2.3647672072784807,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,sd,0.5016034582222222,64.13774085044861,"Speech, Detect","0.450491, 0.051113","31.784, 32.353","54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4666.97265625,"22.0, 67.3, 50.9, 43.2, 54.5, 76.7, 75.0, 61.7, 65.9, 21.1, 44.1, 51.7, 35.1, 12.0, 13.1, 26.3",16,87.2,2.4877355617088606,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,sp,0.5193291085185184,79.52358818054199,"Speech, Predict","0.449816, 0.069514","31.711, 47.812","54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4663.484375,"39.3, 69.8, 62.4, 28.9, 57.4, 76.9, 75.0, 53.4, 50.7, 21.6, 34.1, 65.8, 33.1, 13.3, 15.3, 37.0",16,78.0,2.5629016943734015,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ds,0.5011999927407408,64.19823360443115,"Detect, Speech","0.051193, 0.450007","32.489, 31.709","500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4678.5625,"43.5, 65.0, 76.2, 22.7, 29.3, 59.7, 71.6, 64.3, 45.3, 23.2, 22.6, 67.9, 58.8, 29.1, 17.0, 24.3",16,63.0,2.505182159810127,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dd,0.10207290599999999,64.6492326259613,"Detect, Detect","0.051010, 0.051063","32.315, 32.334","500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3040.0703125,"57.5, 73.3, 74.5, 32.2, 55.4, 60.1, 63.7, 70.0, 39.2, 21.9, 25.5, 67.2, 40.9, 34.8, 31.6, 24.2",16,78.6,2.5583097570532916,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dp,0.11932313,79.40242290496826,"Detect, Predict","0.051101, 0.068223","32.396, 47.007","500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3242.81640625,"56.4, 53.9, 60.1, 44.6, 66.0, 48.7, 72.4, 68.2, 40.5, 43.0, 39.6, 55.6, 30.3, 47.4, 24.8, 27.5",16,68.2,2.568081681585678,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ps,0.5137961916296296,79.42476344108582,"Predict, Speech","0.068355, 0.445441","47.054, 32.370","500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4675.51953125,"47.9, 68.5, 57.4, 39.3, 66.2, 58.1, 75.2, 67.8, 42.3, 21.1, 39.0, 55.5, 24.6, 32.3, 15.3, 21.7",16,91.2,2.4651831841432226,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
