request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,s,0.023128,0.005600,0.022000,20.213867,50.728351
1,d,0.002385,0.020000,0.020000,27.995605,42.385393
2,s,0.023128,0.136900,0.018500,35.311768,178.528351
3,ps,0.002840,0.059750,0.020000,54.747803,82.589786
4,p,0.003780,0.004450,0.022000,76.089844,30.229849
5,p,0.003780,0.005450,0.021500,39.060303,30.729849
6,d,0.002385,0.063600,0.021500,48.705811,87.485393
7,p,0.003780,0.031100,0.018500,67.794189,53.379849
8,d,0.002385,0.004700,0.018500,77.507568,25.585393
9,sd,0.018668,0.051250,0.021500,84.881104,91.417773
10,p,0.003780,0.053150,0.020000,19.070068,76.929849
11,d,0.002385,0.021150,0.021500,29.686279,45.035393
12,p,0.003780,0.008400,0.021500,48.956543,33.679849
13,s,0.023128,0.099350,0.018500,58.790283,140.978351
14,pp,0.002838,0.004700,0.019200,78.419434,26.738325
15,d,0.002385,0.063450,0.020000,22.773438,85.835393
16,s,0.023128,0.003800,0.019200,30.419189,46.128351
17,s,0.023128,0.067550,0.021500,37.190674,112.178351
18,ss,0.018821,0.026750,0.021500,43.941162,67.070769
19,pss,0.002833,0.096050,0.018500,62.405273,117.382709
20,d,0.002385,0.005100,0.021500,20.300781,28.985393
21,s,0.023128,0.080000,0.018500,28.929932,121.628351
22,s,0.023128,0.011250,0.020000,36.424561,54.378351
23,ps,0.002840,0.087000,0.022000,56.635254,111.839786
24,pps,0.002854,0.059550,0.022000,78.215332,84.404053
30,p,0.003780,0.040350,0.021500,35.578613,65.629849
31,p,0.003780,0.005150,0.019200,56.326416,28.129849
32,d,0.002385,0.052600,0.020000,65.728027,74.985393
33,dd,0.002426,0.087000,0.020000,73.373291,109.425915
34,ddd,0.002493,0.094100,0.021500,80.666992,118.093417
25,s,0.023128,0.033950,0.022000,11.495605,79.078351
26,d,0.002385,0.022800,0.021500,19.272705,46.685393
27,d,0.002385,0.090250,0.020000,27.086182,112.635393
28,sd,0.018668,0.014900,0.019200,34.654785,52.767773
29,s,0.023128,0.094100,0.020000,42.141602,137.228351
35,s,0.023128,0.017350,0.020000,10.422119,60.478351
36,d,0.002385,0.057800,0.020000,17.583740,80.185393
37,s,0.023128,0.040200,0.020000,24.353271,83.328351
38,d,0.002385,0.004900,0.018500,31.366943,25.785393
39,s,0.023128,0.061100,0.018500,38.371094,102.728351
40,s,0.023128,0.073500,0.020000,6.659668,116.628351
41,d,0.002385,0.062500,0.018500,14.168213,83.385393
42,s,0.023128,0.100050,0.021500,21.114746,144.678351
43,p,0.003780,0.006000,0.022000,39.648193,31.779849
44,d,0.002385,0.005850,0.018500,49.172363,26.735393
50,d,0.002385,0.020200,0.022000,21.822754,44.585393
51,p,0.003780,0.059050,0.020000,41.033936,82.829849
52,s,0.023128,0.004700,0.019200,50.352295,47.028351
53,p,0.003780,0.061150,0.019200,69.844971,84.129849
54,sp,0.018754,0.064850,0.021500,79.738770,105.103690
45,d,0.002385,0.007250,0.022000,21.461914,31.635393
46,dd,0.002426,0.004300,0.021500,29.258545,28.225915
47,p,0.003780,0.119500,0.020000,48.092773,143.279849
48,s,0.023128,0.006650,0.019200,57.431396,48.978351
49,dp,0.002464,0.032200,0.021500,64.862305,56.164344
55,d,0.002385,0.011650,0.021500,18.412598,35.535393
56,p,0.003780,0.013000,0.020000,38.148438,36.779849
57,dp,0.002464,0.008950,0.021500,47.824463,32.914344
58,d,0.002385,0.061800,0.021500,55.105469,85.685393
59,d,0.002385,0.009300,0.021500,62.165283,33.185393
60,p,0.003780,0.061900,0.018500,32.450684,84.179849
61,p,0.003780,0.014050,0.020000,53.091553,37.829849
62,d,0.002385,0.006000,0.018500,62.671875,26.885393
63,pd,0.002977,0.006700,0.018500,81.285645,28.177001
64,dp,0.002464,0.005050,0.018500,90.800537,26.014344
65,d,0.002385,0.073700,0.021500,7.200195,97.585393
66,s,0.023128,0.056700,0.018500,14.589844,98.328351
67,ps,0.002840,0.097900,0.020000,33.203613,120.739786
68,dps,0.002445,0.067450,0.021500,43.156738,91.394936
69,p,0.003780,0.100750,0.019200,62.574219,123.729849
75,p,0.003780,0.049500,0.021500,18.159668,74.779849
76,d,0.002385,0.069050,0.021500,28.190918,92.935393
77,p,0.003780,0.005350,0.019200,46.972412,28.329849
78,s,0.023128,0.057000,0.019200,57.620361,99.328351
79,ss,0.018821,0.059500,0.020000,65.233154,98.320769
70,d,0.002385,0.005100,0.021500,19.664795,28.985393
71,sd,0.018668,0.003400,0.020000,27.420410,42.067773
72,p,0.003780,0.064950,0.022000,47.785156,90.729849
73,p,0.003780,0.006300,0.019200,71.712402,29.279849
74,p,0.003780,0.014600,0.021500,95.642090,39.879849
85,p,0.003780,0.083800,0.021500,22.792969,109.079849
86,d,0.002385,0.006200,0.019200,32.208740,27.785393
