request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,p,0.003780,0.028000,0.020000,31.753906,51.779849
1,p,0.003780,0.006400,0.021500,56.565186,31.679849
2,pp,0.002838,0.069000,0.018500,81.088135,90.338325
3,p,0.003780,0.004950,0.020000,105.780762,28.729849
4,p,0.003780,0.060300,0.019200,131.962891,83.279849
10,p,0.003780,0.004550,0.022000,18.382568,30.329849
11,dp,0.002464,0.004500,0.022000,32.307129,28.964344
12,dp,0.002464,0.016850,0.018500,40.725586,37.814344
13,pd,0.002977,0.056050,0.018500,60.833008,77.527001
14,dd,0.002426,0.014150,0.022000,73.461670,38.575915
15,d,0.002385,0.022500,0.022000,13.760254,46.885393
16,d,0.002385,0.009150,0.019200,22.782227,30.735393
17,s,0.023128,0.007400,0.021500,31.043701,52.028351
18,sd,0.018668,0.049050,0.021500,39.107178,89.217773
19,dsd,0.002613,0.019350,0.021500,47.085938,43.462551
5,s,0.023128,0.010200,0.022000,6.474365,55.328351
6,ds,0.002343,0.015450,0.022000,14.745605,39.792513
7,pd,0.002977,0.005250,0.021500,34.737549,29.727001
8,dpd,0.002513,0.010450,0.018500,47.789307,31.462673
9,ds,0.002343,0.013550,0.022000,55.962402,37.892513
20,p,0.003780,0.034600,0.022000,35.799561,60.379849
21,p,0.003780,0.006000,0.020000,60.118652,29.779849
22,sp,0.018754,0.003950,0.020000,72.737305,42.703690
23,d,0.002385,0.062500,0.019200,80.832764,84.085393
24,dp,0.002464,0.052600,0.019200,89.260010,74.264344
25,p,0.003780,0.005150,0.021500,36.337646,30.429849
26,pp,0.002838,0.004850,0.018500,62.770508,26.188325
27,p,0.003780,0.076250,0.018500,87.489990,98.529849
28,pp,0.002838,0.063450,0.021500,111.903320,87.788325
29,ppp,0.002790,0.017000,0.019200,135.704590,38.989957
30,d,0.002385,0.005100,0.021500,22.970215,28.985393
31,p,0.003780,0.075150,0.022000,44.527344,100.929849
32,p,0.003780,0.011050,0.021500,70.724854,36.329849
33,s,0.023128,0.005700,0.018500,83.451904,47.328351
34,ss,0.018821,0.004750,0.020000,91.251221,43.570769
35,d,0.002385,0.004700,0.018500,6.785156,25.585393
36,dd,0.002426,0.049650,0.018500,15.157227,70.575915
37,p,0.003780,0.020600,0.019200,34.853027,43.579849
38,pp,0.002838,0.015050,0.022000,58.222412,39.888325
39,sp,0.018754,0.047400,0.022000,70.425781,88.153690
40,s,0.023128,0.015450,0.019200,6.818359,57.778351
41,d,0.002385,0.047450,0.021500,15.067871,71.335393
42,ss,0.018821,0.013900,0.020000,22.907715,52.720769
43,ps,0.002840,0.115350,0.019200,42.136230,137.389786
44,d,0.002385,0.006050,0.021500,54.554688,29.935393
45,p,0.003780,0.048200,0.022000,18.870850,73.979849
46,p,0.003780,0.004750,0.022000,43.628662,30.529849
47,pp,0.002838,0.052250,0.019200,67.974365,74.288325
48,p,0.003780,0.007850,0.019200,92.627197,30.829849
49,dp,0.002464,0.012650,0.022000,106.556396,37.114344
50,d,0.002385,0.011200,0.019200,6.663330,32.785393
51,sd,0.018668,0.015450,0.018500,14.589111,52.617773
52,d,0.002385,0.041650,0.020000,22.798828,64.035393
53,p,0.003780,0.004600,0.021500,42.286865,29.879849
54,pp,0.002838,0.005800,0.018500,66.824707,27.138325
55,d,0.002385,0.027350,0.019200,7.005615,48.935393
56,d,0.002385,0.005550,0.021500,15.259521,29.435393
57,s,0.023128,0.060250,0.021500,23.302246,104.878351
58,d,0.002385,0.010350,0.020000,31.194824,32.735393
59,pd,0.002977,0.009850,0.019200,50.539307,32.027001
60,s,0.023128,0.005200,0.020000,11.424805,48.328351
61,p,0.003780,0.060400,0.018500,31.944824,82.679849
62,d,0.002385,0.006800,0.019200,44.964600,28.385393
63,ds,0.002343,0.005100,0.019200,53.583008,26.642513
64,pd,0.002977,0.004900,0.019200,73.480713,27.077001
75,p,0.003780,0.005750,0.022000,21.397461,31.529849
76,sp,0.018754,0.005050,0.022000,35.598389,45.803690
77,p,0.003780,0.075150,0.019200,57.239990,98.129849
78,ss,0.018821,0.023550,0.021500,71.411621,63.870769
79,p,0.003780,0.005100,0.018500,92.223145,27.379849
70,d,0.002385,0.005350,0.019200,6.989746,26.935393
71,pd,0.002977,0.010150,0.021500,27.394775,34.627001
72,pp,0.002838,0.005350,0.018500,52.411377,26.688325
73,sp,0.018754,0.009500,0.018500,65.179443,46.753690
74,dsp,0.002685,0.007350,0.020000,73.432861,30.034513
65,p,0.003780,0.004100,0.021500,20.823730,29.379849
66,sp,0.018754,0.005050,0.021500,33.594482,45.303690
67,psp,0.002926,0.004800,0.019200,53.509033,26.925658
68,dps,0.002445,0.005600,0.022000,66.196289,30.044936
69,ddp,0.002502,0.007950,0.021500,74.392578,31.951712
80,d,0.002385,0.014450,0.022000,7.602783,38.835393
81,s,0.023128,0.006650,0.022000,17.469971,51.778351
82,ps,0.002840,0.003950,0.021500,38.502930,28.289786
83,dps,0.002445,0.004150,0.022000,51.337646,28.594936
84,pps,0.002854,0.039200,0.018500,70.913574,60.554053
85,p,0.003780,0.004250,0.021500,33.679199,29.529849
86,s,0.023128,0.069100,0.019200,46.014404,111.428351
87,p,0.003780,0.025650,0.021500,65.542480,50.929849
88,pp,0.002838,0.020150,0.019200,89.328369,42.188325
89,d,0.002385,0.004400,0.018500,102.854004,25.285393
90,s,0.023128,0.012000,0.019200,6.355957,54.328351
91,d,0.002385,0.070400,0.019200,15.452393,91.985393
92,s,0.023128,0.011100,0.021500,23.513916,55.728351
93,ps,0.002840,0.005050,0.019200,43.159424,27.089786
94,dpd,0.002513,0.055100,0.020000,56.030518,77.612673
95,p,0.003780,0.012100,0.022000,19.174805,37.879849
96,p,0.003780,0.024350,0.021500,45.217041,49.629849
97,dp,0.002464,0.009900,0.021500,58.424561,33.864344
98,dp,0.002464,0.008550,0.018500,66.856934,29.514344
99,pdd,0.003045,0.012100,0.021500,86.566162,36.644804
100,s,0.023128,0.034600,0.022000,9.546387,79.728351
101,s,0.023128,0.005200,0.020000,17.306152,48.328351
102,dss,0.002842,0.010800,0.021500,25.227783,35.141615
103,ps,0.002840,0.064750,0.019200,44.710449,86.789786
104,sdss,0.018223,0.016350,0.020000,56.844971,54.572624
105,p,0.003780,0.005000,0.020000,17.660156,28.779849
106,s,0.023128,0.068150,0.022000,30.752930,113.278351
107,pp,0.002838,0.059200,0.019200,50.322021,81.238325
108,d,0.002385,0.016500,0.019200,62.834229,38.085393
109,sps,0.018360,0.075550,0.021500,70.838623,115.410251
110,d,0.002385,0.006950,0.021500,23.168457,30.835393
111,s,0.023128,0.007050,0.019200,31.809814,49.378351
112,p,0.003780,0.099050,0.020000,51.259277,122.829849
113,p,0.003780,0.008800,0.018500,75.409180,31.079849
114,ppp,0.002790,0.044550,0.022000,99.420898,69.339957
120,d,0.002385,0.006050,0.019200,6.668457,27.635393
121,p,0.003780,0.014450,0.021500,26.327881,39.729849
122,sd,0.018668,0.025750,0.022000,39.599854,66.417773
123,s,0.023128,0.008950,0.018500,47.878174,50.578351
124,dp,0.002464,0.012800,0.019200,56.343018,34.464344
115,s,0.023128,0.016300,0.022000,6.860596,61.428351
116,s,0.023128,0.004450,0.021500,15.523926,49.078351
117,p,0.003780,0.013550,0.018500,35.914062,35.829849
118,ps,0.002840,0.012450,0.020000,60.780273,35.289786
119,d,0.002385,0.014450,0.022000,73.596436,38.835393
125,p,0.003780,0.018050,0.022000,19.551270,43.829849
126,d,0.002385,0.008550,0.022000,32.647705,32.935393
127,pd,0.002977,0.004400,0.019200,52.084473,26.577001
128,dd,0.002426,0.005750,0.022000,65.781250,30.175915
129,sp,0.018754,0.005800,0.018500,73.856934,43.053690
130,p,0.003780,0.004850,0.018500,19.863770,27.129849
131,s,0.023128,0.024400,0.018500,32.767090,66.028351
132,d,0.002385,0.009200,0.021500,41.007568,33.085393
133,pd,0.002977,0.013850,0.021500,61.354004,38.327001
134,spp,0.018537,0.031750,0.022000,74.421387,72.287181
135,s,0.023128,0.014350,0.022000,13.612549,59.478351
136,ss,0.018821,0.008750,0.021500,22.049805,49.070769
137,p,0.003780,0.008450,0.022000,41.501709,34.229849
138,dp,0.002464,0.005350,0.019200,54.706055,27.014344
139,ds,0.002343,0.086150,0.022000,63.145020,110.492513
140,s,0.023128,0.107600,0.018500,21.843262,149.228351
141,d,0.002385,0.008800,0.018500,31.412354,29.685393
142,p,0.003780,0.004550,0.021500,52.915283,29.829849
143,s,0.023128,0.008250,0.020000,65.847656,51.378351
144,sp,0.018754,0.005050,0.020000,73.805908,43.803690
145,d,0.002385,0.020000,0.019200,6.795166,41.585393
146,d,0.002385,0.006450,0.022000,14.933105,30.835393
147,dd,0.002426,0.004500,0.019200,23.089111,26.125915
148,sdd,0.018511,0.005950,0.018500,30.981689,42.960933
149,pd,0.002977,0.051700,0.020000,50.068848,74.677001
155,d,0.002385,0.010100,0.018500,8.912109,30.985393
156,pd,0.002977,0.016950,0.020000,33.872070,39.927001
157,dp,0.002464,0.020600,0.019200,47.192871,42.264344
158,pd,0.002977,0.047100,0.020000,66.512207,70.077001
159,dd,0.002426,0.012000,0.019200,79.505371,33.625915
150,s,0.023128,0.083800,0.018500,6.291260,125.428351
151,ds,0.002343,0.056100,0.018500,14.546143,76.942513
152,p,0.003780,0.008600,0.021500,33.855469,33.879849
153,sd,0.018668,0.086850,0.019200,46.172852,124.717773
154,ssps,0.018466,0.063350,0.021500,53.944580,103.316056
160,p,0.003780,0.051250,0.021500,18.804443,76.529849
161,p,0.003780,0.004350,0.018500,42.867432,26.629849
162,sp,0.018754,0.093100,0.020000,55.540283,131.853690
163,psp,0.002926,0.034450,0.021500,74.719727,58.875658
164,p,0.003780,0.012900,0.020000,98.276123,36.679849
165,p,0.003780,0.008550,0.022000,22.444580,34.329849
166,sp,0.018754,0.010200,0.019200,35.010986,48.153690
167,sp,0.018754,0.004100,0.020000,42.972900,42.853690
168,ssp,0.018787,0.005400,0.022000,50.763428,46.187195
169,dss,0.002842,0.025050,0.022000,58.749268,49.891615
170,p,0.003780,0.005150,0.020000,30.890137,28.929849
171,s,0.023128,0.014100,0.021500,44.517822,58.728351
172,s,0.023128,0.043250,0.019200,52.692871,85.578351
173,p,0.003780,0.039250,0.022000,72.452148,65.029849
174,ss,0.018821,0.006900,0.020000,85.342285,45.720769
175,p,0.003780,0.020850,0.020000,44.137695,44.629849
176,dp,0.002464,0.018950,0.022000,57.071777,43.414344
177,s,0.023128,0.012000,0.022000,65.213623,57.128351
178,sdp,0.018492,0.056150,0.019200,73.260742,93.841971
179,ps,0.002840,0.005500,0.018500,92.841309,26.839786
180,d,0.002385,0.008950,0.019200,17.214844,30.535393
181,dd,0.002426,0.009000,0.022000,28.410400,33.425915
182,pd,0.002977,0.017850,0.022000,48.644287,42.827001
183,d,0.002385,0.004350,0.021500,62.370850,28.235393
184,sp,0.018754,0.071400,0.019200,71.104736,109.353690
185,s,0.023128,0.004150,0.022000,23.556152,49.278351
186,ds,0.002343,0.007500,0.018500,32.644775,28.342513
187,sd,0.018668,0.095650,0.019200,40.585938,133.517773
188,sds,0.018566,0.008800,0.020000,48.539795,47.366086
189,ssds,0.018930,0.015350,0.021500,56.475342,55.780221
190,s,0.023128,0.012750,0.018500,22.730713,54.378351
191,d,0.002385,0.008950,0.022000,32.045166,33.335393
192,ss,0.018821,0.009950,0.018500,41.070557,47.270769
193,sds,0.018566,0.036300,0.020000,49.835205,74.866086
194,dss,0.002842,0.005850,0.019200,59.003906,27.891615
195,p,0.003780,0.007900,0.018500,19.666016,30.179849
196,d,0.002385,0.018500,0.018500,32.364502,39.385393
197,p,0.003780,0.005050,0.019200,51.617432,28.029849
198,pp,0.002838,0.008800,0.018500,75.836426,30.138325
199,dp,0.002464,0.005900,0.022000,88.508057,30.364344
200,p,0.003780,0.018600,0.018500,21.155273,40.879849
201,d,0.002385,0.036650,0.018500,34.376221,57.535393
202,dd,0.002426,0.015850,0.022000,43.389160,40.275915
203,pdp,0.002932,0.037700,0.018500,64.730713,59.131683
204,sdd,0.018511,0.016650,0.018500,78.138428,53.660933
210,s,0.023128,0.016750,0.019200,6.372559,59.078351
211,ps,0.002840,0.013250,0.021500,26.003906,37.589786
