episode,episodic_reward
0,1.051844
1,0.764893
2,1.212130
3,1.082841
4,1.262507
5,1.089802
6,1.078685
7,1.224817
8,1.108489
9,1.034656
10,1.269063
11,1.223793
12,1.230709
13,1.047554
14,1.195901
15,1.251216
16,1.136960
17,1.094296
18,1.152564
19,1.186955
20,1.024931
21,1.064301
22,1.355129
23,1.231230
24,1.239529
25,1.120025
26,1.183746
27,1.110607
28,1.124054
29,1.216928
30,1.100679
31,1.271048
32,1.336363
33,1.198049
34,1.226754
35,1.105735
36,1.072093
37,1.146097
38,1.123881
39,0.940510
40,1.292695
41,1.055008
42,1.149533
43,1.125376
44,1.312146
45,1.196887
46,1.083753
47,1.009331
48,1.125315
49,1.079536
50,1.085519
51,1.055390
52,1.199910
53,1.120409
54,1.126001
55,1.135569
56,1.269520
57,1.103420
58,1.157324
59,1.076033
60,1.187484
61,1.104642
62,1.232405
63,1.293374
64,1.321111
65,1.259644
66,1.229728
67,1.175665
68,1.263595
69,1.115678
70,1.154845
71,1.208576
72,1.144909
73,1.353399
74,1.216188
75,1.155892
76,1.089690
77,1.180319
78,1.017387
79,0.981642
80,1.014224
81,1.087579
82,1.095767
83,1.218330
84,0.952583
85,1.309342
86,1.254317
87,1.137467
88,1.253989
89,1.045596
90,1.142487
91,1.179931
92,1.304822
93,1.335616
94,1.168801
95,1.126742
96,0.980589
97,1.300418
98,1.202166
99,1.050944
100,1.142131
101,1.380953
102,1.227619
103,1.254313
104,1.187395
105,1.083093
106,1.251857
107,1.251134
108,1.125494
109,1.240618
110,1.074334
111,1.249333
112,1.318178
113,1.264181
114,1.234158
115,1.107656
116,1.224669
117,1.260226
118,1.053452
119,1.008071
120,1.216151
121,1.308824
122,1.185829
123,1.202341
124,1.197289
125,1.172300
126,1.120354
127,1.131262
128,1.173897
129,1.246365
130,1.293896
131,1.221207
132,1.131169
133,1.229955
134,0.995370
135,1.337863
136,1.206258
137,1.464267
138,1.150332
139,1.337801
140,1.307041
141,1.362218
142,0.977777
143,1.375232
144,1.196560
145,1.099948
146,1.308460
147,1.134569
148,1.200093
149,1.150127
150,1.220121
151,1.168817
152,1.258843
153,1.269429
154,1.300369
155,1.218419
156,1.245416
157,1.058727
158,1.338718
159,1.447850
160,1.168904
161,1.169820
162,1.223411
163,1.209881
164,1.073953
165,1.134287
166,1.245819
167,1.104524
168,1.246744
169,1.511926
170,1.465444
171,1.198003
172,1.227938
173,1.332748
174,1.380944
175,1.197863
176,1.322727
177,1.326353
178,1.339311
179,1.367638
180,1.126225
181,1.175866
182,1.148162
183,1.119086
184,0.986179
185,1.262058
186,1.155024
187,1.312836
188,1.331426
189,1.382059
190,1.119795
191,1.359613
192,1.253546
193,1.167377
194,1.147368
195,1.128900
196,1.276096
197,1.249022
198,1.247729
199,1.099711
200,1.146372
201,1.190148
202,1.210241
203,1.404084
204,1.216756
205,1.202558
206,1.416177
207,1.355164
208,1.361913
209,1.105081
210,1.228137
211,1.207421
212,1.373224
213,1.226932
214,1.252590
215,1.186702
216,1.242463
217,1.463388
218,1.150657
219,1.257736
220,1.355227
221,1.322159
222,1.162276
223,1.192021
224,1.089982
225,1.314292
226,1.117439
227,1.252018
228,1.282779
229,1.201500
230,1.129262
231,1.279910
232,1.394830
233,1.340063
234,1.436730
235,1.272040
236,1.322326
237,1.291485
238,1.277791
239,1.138402
240,1.215860
241,1.301508
242,1.160855
243,1.244696
244,1.397454
245,1.400852
246,1.209527
247,1.241026
248,1.134323
249,1.160043
250,1.267867
251,1.243191
252,1.479016
253,1.353556
254,1.186645
255,1.346252
256,1.334319
257,1.313059
258,1.330427
259,1.285150
260,1.273337
261,1.178977
262,1.196342
263,1.062654
264,1.081656
265,1.201064
266,1.303507
267,1.234714
268,1.074849
269,1.303441
270,1.139947
271,1.313184
272,1.312541
273,1.405935
274,1.300628
275,1.199931
276,1.411901
277,1.285614
278,1.221609
279,1.326920
280,1.306042
281,1.411973
282,1.158991
283,1.306219
284,1.442700
285,1.297970
286,1.263028
287,1.225525
288,1.325284
289,1.358746
290,1.178852
291,1.282732
292,1.212667
293,1.144207
294,1.361164
295,1.547238
296,1.168181
297,1.367293
298,1.330242
299,1.289328
300,1.326691
301,1.274859
302,1.378733
303,1.428586
304,1.336059
305,1.362914
306,1.283449
307,1.169985
308,1.354323
309,1.398198
310,1.395275
311,1.345241
312,1.425639
313,1.297644
314,1.338979
315,1.402987
316,1.338375
317,1.323449
318,1.274970
319,1.377778
320,1.203738
321,1.311582
322,1.371092
323,1.385750
324,1.115574
325,1.274122
326,1.388968
327,1.309025
328,1.242473
329,1.456827
330,1.194802
331,1.351668
332,1.363802
333,1.222245
334,1.361645
335,1.317756
336,1.279169
337,1.302024
338,1.246086
339,1.321189
340,1.314024
341,1.336148
342,1.343606
343,1.483600
344,1.281084
345,1.464354
346,1.305527
347,1.363630
348,1.385717
349,1.222540
350,1.364237
351,1.244333
352,1.393004
353,1.382661
354,1.127472
355,1.337292
356,1.358526
357,1.340796
358,1.412913
359,1.241269
360,1.227407
361,1.318927
362,1.280857
363,1.440648
364,1.423583
365,1.324149
366,1.376600
367,1.307565
368,1.321248
369,1.282053
370,1.252061
371,1.170190
372,1.340585
373,1.473282
374,1.422085
375,1.347656
376,1.416022
377,1.239874
378,1.318729
379,1.375110
380,1.423887
381,1.276468
382,1.421836
383,1.312166
384,1.270796
385,1.324019
386,1.345253
387,1.361339
388,1.513221
389,1.292048
390,1.266659
391,1.392804
392,1.444200
393,1.291682
394,1.362393
395,1.351103
396,1.375929
397,1.231567
398,1.426453
399,1.283871
400,1.446518
401,1.176064
402,1.385432
403,1.476945
404,1.249253
405,1.432509
406,1.410589
407,1.468161
408,1.199525
409,1.314241
410,1.361952
411,1.367453
412,1.404426
413,1.235448
414,1.351050
415,1.349781
416,1.246637
417,1.174437
