request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,s,0.023128,0.004800,0.021500,43.072266,49.428351
1,ps,0.002840,0.005550,0.022000,63.279541,30.389786
2,dps,0.002445,0.004750,0.022000,82.872070,29.194936
3,sdps,0.018183,0.004600,0.019200,90.986572,41.982897
4,p,0.003780,0.010800,0.018500,110.041748,33.079849
5,s,0.023128,0.004050,0.020000,7.580322,47.178351
6,d,0.002385,0.100350,0.019200,16.052002,121.935393
7,ps,0.002840,0.006350,0.020000,34.961670,29.189786
8,ds,0.002343,0.065450,0.020000,50.942139,87.792513
9,p,0.003780,0.005300,0.020000,71.072266,29.079849
10,d,0.002385,0.015950,0.018500,28.230957,36.835393
11,sd,0.018668,0.013550,0.022000,57.461182,54.217773
12,ssd,0.018735,0.039400,0.022000,66.397217,80.134503
13,s,0.023128,0.006300,0.021500,73.287598,50.928351
14,dssd,0.002931,0.060200,0.018500,82.245361,81.631476
15,s,0.023128,0.011700,0.018500,23.304199,53.328351
16,ds,0.002343,0.018250,0.020000,33.161377,40.592513
17,dds,0.002685,0.075300,0.020000,41.355225,97.985273
18,s,0.023128,0.018050,0.022000,48.070312,63.178351
19,ps,0.002840,0.004400,0.018500,66.354248,25.739786
20,s,0.023128,0.011800,0.018500,23.373535,53.428351
21,d,0.002385,0.056450,0.019200,31.343506,78.035393
22,pd,0.002977,0.084000,0.018500,50.549561,105.477001
23,sd,0.018668,0.119700,0.018500,59.747559,156.867773
24,p,0.003780,0.009300,0.021500,77.965332,34.579849
25,p,0.003780,0.017700,0.019200,35.026367,40.679849
26,p,0.003780,0.101550,0.020000,58.930908,125.329849
27,sp,0.018754,0.006950,0.020000,68.208496,45.703690
28,s,0.023128,0.003950,0.018500,77.153320,45.578351
29,ds,0.002343,0.005700,0.020000,85.359131,28.042513
35,d,0.002385,0.004500,0.018500,23.744629,25.385393
36,pd,0.002977,0.006050,0.020000,45.963623,29.027001
37,dp,0.002464,0.004150,0.020000,65.151855,26.614344
38,sd,0.018668,0.006450,0.022000,75.090332,47.117773
39,sdd,0.018511,0.045450,0.022000,82.843506,85.960933
30,s,0.023128,0.008150,0.020000,22.129395,51.278351
31,ps,0.002840,0.005300,0.022000,43.156738,30.139786
32,dp,0.002464,0.069000,0.020000,59.553955,91.464344
33,sps,0.018360,0.005200,0.020000,66.858154,43.560251
34,sp,0.018754,0.066900,0.018500,75.997070,104.153690
40,d,0.002385,0.004850,0.021500,23.205566,28.735393
41,sd,0.018668,0.005000,0.022000,31.666504,45.667773
42,s,0.023128,0.015050,0.021500,39.476562,59.678351
43,ps,0.002840,0.015050,0.019200,58.881104,37.089786
44,dps,0.002445,0.020000,0.021500,78.001221,43.944936
45,d,0.002385,0.100750,0.018500,23.160156,121.635393
46,d,0.002385,0.005000,0.018500,32.225830,25.885393
47,d,0.002385,0.011100,0.019200,40.508545,32.685393
48,dd,0.002426,0.005000,0.020000,50.059814,27.425915
49,dddd,0.002612,0.018250,0.018500,58.363037,39.361713
50,p,0.003780,0.010650,0.020000,34.395752,34.429849
51,d,0.002385,0.021600,0.022000,47.177734,45.985393
52,ddp,0.002502,0.068100,0.022000,55.543457,92.601712
53,s,0.023128,0.005950,0.019200,63.560791,48.278351
54,ss,0.018821,0.005750,0.022000,72.339355,46.570769
55,s,0.023128,0.004500,0.018500,9.254639,46.128351
56,ps,0.002840,0.004450,0.019200,28.673584,26.489786
57,pps,0.002854,0.004700,0.020000,52.330078,27.554053
58,pp,0.002838,0.004550,0.022000,73.597412,29.388325
59,pp,0.002838,0.010150,0.020000,100.768311,32.988325
60,d,0.002385,0.006200,0.018500,6.880615,27.085393
61,s,0.023128,0.004450,0.019200,15.299561,46.778351
62,ps,0.002840,0.005350,0.019200,35.139160,27.389786
63,dps,0.002445,0.030100,0.022000,56.388428,54.544936
64,sp,0.018754,0.009300,0.020000,65.878418,48.053690
70,p,0.003780,0.004200,0.019200,22.039551,27.179849
71,dp,0.002464,0.028300,0.019200,41.856445,49.964344
72,pd,0.002977,0.015250,0.021500,62.391113,39.727001
73,ddp,0.002502,0.065600,0.019200,75.094238,87.301712
74,p,0.003780,0.008950,0.019200,93.381592,31.929849
65,d,0.002385,0.005200,0.020000,22.693604,27.585393
66,d,0.002385,0.015250,0.022000,32.466553,39.635393
67,sd,0.018668,0.006050,0.022000,40.519775,46.717773
68,pd,0.002977,0.012100,0.019200,59.038330,34.277001
69,sd,0.018668,0.037800,0.020000,71.615967,76.467773
75,s,0.023128,0.008950,0.019200,6.975098,51.278351
76,p,0.003780,0.006800,0.018500,29.592041,29.079849
77,sp,0.018754,0.012000,0.019200,46.065430,49.953690
78,ss,0.018821,0.021000,0.018500,54.978760,58.320769
79,ps,0.002840,0.005000,0.018500,75.328857,26.339786
80,s,0.023128,0.005650,0.019200,6.433838,47.978351
81,ds,0.002343,0.004750,0.022000,13.840576,29.092513
82,p,0.003780,0.006150,0.018500,33.326660,28.429849
83,dp,0.002464,0.047100,0.018500,46.046387,68.064344
84,d,0.002385,0.005100,0.022000,55.405273,29.485393
85,p,0.003780,0.004550,0.022000,32.299561,30.329849
86,pp,0.002838,0.004500,0.021500,59.302002,28.838325
87,dp,0.002464,0.007050,0.018500,75.267822,28.014344
88,pd,0.002977,0.009600,0.020000,94.508057,32.577001
89,pp,0.002838,0.011050,0.018500,118.167969,32.388325
90,d,0.002385,0.006500,0.018500,22.121826,27.385393
91,s,0.023128,0.004550,0.020000,30.522949,47.678351
92,ps,0.002840,0.010900,0.022000,51.824219,35.739786
93,sps,0.018360,0.004500,0.018500,64.643799,41.360251
94,ssps,0.018466,0.005100,0.020000,73.558594,43.566056
95,s,0.023128,0.004900,0.022000,12.922607,50.028351
96,p,0.003780,0.056400,0.022000,33.885986,82.179849
97,ds,0.002343,0.024450,0.019200,47.169922,45.992513
98,ss,0.018821,0.006700,0.019200,56.308838,44.720769
99,sds,0.018566,0.009550,0.021500,64.530029,49.616086
100,s,0.023128,0.024800,0.022000,22.902832,69.928351
101,p,0.003780,0.006150,0.018500,43.032471,28.429849
102,pp,0.002838,0.015250,0.020000,66.773682,38.088325
103,p,0.003780,0.005500,0.018500,87.164795,27.779849
104,pp,0.002838,0.004250,0.019200,114.827148,26.288325
110,p,0.003780,0.012250,0.018500,28.535156,34.529849
111,dp,0.002464,0.004500,0.019200,41.845703,26.164344
112,sdp,0.018492,0.006550,0.018500,51.259277,43.541971
113,ssp,0.018787,0.007050,0.018500,61.269531,44.337195
114,ss,0.018821,0.006450,0.020000,70.202637,45.270769
105,s,0.023128,0.033950,0.020000,18.708496,77.078351
106,d,0.002385,0.016700,0.021500,27.000244,40.585393
107,d,0.002385,0.011000,0.020000,36.261230,33.385393
108,pdds,0.002946,0.040100,0.019200,58.254395,62.245651
109,sd,0.018668,0.020800,0.020000,67.517334,59.467773
120,s,0.023128,0.004450,0.018500,11.099121,46.078351
121,ss,0.018821,0.067550,0.020000,19.021240,106.370769
122,ds,0.002343,0.072600,0.020000,27.019531,94.942513
123,d,0.002385,0.016950,0.020000,34.123047,39.335393
124,sd,0.018668,0.054850,0.022000,41.927490,95.517773
125,s,0.023128,0.009850,0.022000,22.532959,54.978351
126,ds,0.002343,0.016600,0.020000,32.433838,38.942513
127,sds,0.018566,0.010400,0.018500,40.451904,47.466086
128,ssds,0.018930,0.033200,0.020000,48.359131,72.130221
129,psds,0.002945,0.027450,0.018500,67.641113,48.895423
115,s,0.023128,0.004600,0.022000,22.848389,49.728351
116,s,0.023128,0.007500,0.019200,33.447266,49.828351
117,ps,0.002840,0.008800,0.021500,53.060791,33.139786
118,ss,0.018821,0.006150,0.021500,65.656494,46.470769
119,ps,0.002840,0.004850,0.022000,84.883301,29.689786
135,d,0.002385,0.004750,0.019200,21.025635,26.335393
136,pd,0.002977,0.007050,0.018500,43.963867,28.527001
137,sd,0.018668,0.073800,0.019200,56.681641,111.667773
138,p,0.003780,0.004300,0.019200,74.978516,27.279849
139,sp,0.018754,0.005650,0.018500,90.609131,42.903690
130,s,0.023128,0.023650,0.020000,21.782959,66.778351
131,d,0.002385,0.056750,0.022000,29.652100,81.135393
132,d,0.002385,0.004950,0.020000,37.852295,27.335393
133,pd,0.002977,0.015050,0.022000,59.635010,40.027001
134,pp,0.002838,0.006500,0.020000,80.375000,29.338325
140,p,0.003780,0.007050,0.019200,35.830811,30.029849
141,dp,0.002464,0.003650,0.018500,48.686279,24.614344
142,pd,0.002977,0.005500,0.022000,70.685059,30.477001
143,dp,0.002464,0.006350,0.019200,90.227295,28.014344
144,s,0.023128,0.015450,0.019200,98.291992,57.778351
145,d,0.002385,0.004750,0.019200,23.901367,26.335393
146,dd,0.002426,0.010900,0.021500,34.764160,34.825915
147,pd,0.002977,0.004450,0.022000,54.113281,29.427001
148,pp,0.002838,0.035450,0.019200,81.517822,57.488325
149,p,0.003780,0.005350,0.021500,108.538086,30.629849
150,p,0.003780,0.007650,0.019200,34.993408,30.629849
151,d,0.002385,0.008950,0.018500,54.480713,29.835393
152,p,0.003780,0.015050,0.022000,73.985596,40.829849
153,sp,0.018754,0.011100,0.022000,86.703369,51.853690
154,p,0.003780,0.013000,0.019200,107.231201,35.979849
155,d,0.002385,0.008000,0.019200,15.029785,29.585393
156,dd,0.002426,0.004900,0.018500,24.643555,25.825915
157,ddd,0.002493,0.049250,0.020000,34.965576,71.743417
158,s,0.023128,0.019750,0.019200,42.833496,62.078351
159,ss,0.018821,0.008700,0.018500,69.832031,46.020769
160,s,0.023128,0.044550,0.020000,9.682861,87.678351
161,d,0.002385,0.006200,0.019200,16.938477,27.785393
162,d,0.002385,0.004250,0.021500,25.082275,28.135393
163,sd,0.018668,0.012950,0.019200,32.937012,50.817773
164,pd,0.002977,0.004500,0.020000,52.198242,27.477001
165,d,0.002385,0.006800,0.020000,23.840332,29.185393
166,d,0.002385,0.007100,0.022000,33.958252,31.485393
167,sdd,0.018511,0.010300,0.019200,43.108643,48.010933
168,dd,0.002426,0.005000,0.020000,52.179199,27.425915
169,dsd,0.002613,0.013700,0.018500,61.345215,34.812551
170,p,0.003780,0.008750,0.021500,19.802734,34.029849
171,pp,0.002838,0.015150,0.018500,43.657715,36.488325
172,p,0.003780,0.006000,0.018500,70.729980,28.279849
173,p,0.003780,0.005650,0.019200,100.970459,28.629849
174,sp,0.018754,0.004850,0.020000,119.985840,43.603690
175,d,0.002385,0.083300,0.021500,23.349365,107.185393
176,d,0.002385,0.005450,0.021500,33.142090,29.335393
177,sdd,0.018511,0.058700,0.018500,42.216309,95.710933
178,pd,0.002977,0.004350,0.018500,60.581543,25.827001
179,pp,0.002838,0.007100,0.019200,88.135986,29.138325
180,d,0.002385,0.035850,0.022000,23.239990,60.235393
181,p,0.003780,0.004550,0.020000,43.935547,28.329849
182,sp,0.018754,0.021000,0.019200,59.841309,58.953690
183,sp,0.018754,0.004300,0.019200,68.815430,42.253690
184,ps,0.002840,0.006100,0.019200,89.303711,28.139786
185,p,0.003780,0.054400,0.022000,35.591797,80.179849
186,s,0.023128,0.005250,0.019200,48.199707,47.578351
187,p,0.003780,0.009600,0.021500,67.355469,34.879849
188,sp,0.018754,0.008800,0.019200,79.821045,46.753690
189,ssp,0.018787,0.054800,0.020000,89.556152,93.587195
190,p,0.003780,0.012300,0.022000,35.323975,38.079849
191,pp,0.002838,0.008050,0.022000,65.621338,32.888325
192,d,0.002385,0.005300,0.019200,78.443359,26.885393
193,dd,0.002426,0.005550,0.022000,89.853271,29.975915
194,dd,0.002426,0.090350,0.018500,100.296631,111.275915
195,p,0.003780,0.020250,0.022000,21.290039,46.029849
196,p,0.003780,0.037100,0.019200,42.072510,60.079849
197,p,0.003780,0.009950,0.020000,66.105957,33.729849
198,pp,0.002838,0.015700,0.022000,90.323242,40.538325
199,d,0.002385,0.004750,0.019200,106.507324,26.335393
200,p,0.003780,0.004550,0.019200,34.264893,27.529849
201,dp,0.002464,0.006950,0.020000,53.653809,29.414344
202,pd,0.002977,0.011750,0.019200,74.073975,33.927001
203,p,0.003780,0.005950,0.021500,98.155029,31.229849
204,sppdp,0.016713,0.021250,0.021500,114.042725,59.463127
205,p,0.003780,0.053150,0.018500,35.013184,75.429849
206,d,0.002385,0.012100,0.018500,47.875488,32.985393
207,p,0.003780,0.053100,0.019200,67.716064,76.079849
208,sd,0.018668,0.013450,0.019200,76.952393,51.317773
209,ps,0.002840,0.012450,0.022000,95.735596,37.289786
210,p,0.003780,0.006600,0.022000,21.146973,32.379849
211,p,0.003780,0.005050,0.021500,54.917725,30.329849
212,sp,0.018754,0.084250,0.019200,67.546875,122.203690
213,d,0.002385,0.022800,0.022000,76.707764,47.185393
214,d,0.002385,0.008450,0.022000,86.019043,32.835393
215,p,0.003780,0.014600,0.020000,33.891357,38.379849
216,sp,0.018754,0.011450,0.020000,49.772705,50.203690
217,p,0.003780,0.006650,0.021500,68.042725,31.929849
218,sp,0.018754,0.004750,0.019200,83.750732,42.703690
219,spp,0.018537,0.127850,0.020000,93.570557,166.387181
220,p,0.003780,0.018300,0.022000,20.762939,44.079849
221,p,0.003780,0.004950,0.018500,47.821045,27.229849
222,sp,0.018754,0.004450,0.020000,65.453613,43.203690
223,ps,0.002840,0.006550,0.021500,91.707275,30.889786
224,ppp,0.002790,0.046350,0.021500,125.746582,70.639957
225,p,0.003780,0.013550,0.018500,35.075928,35.829849
226,pp,0.002838,0.007100,0.019200,59.017334,29.138325
227,pp,0.002838,0.005150,0.022000,89.603027,29.988325
228,pp,0.002838,0.008900,0.021500,117.019775,33.238325
229,p,0.003780,0.004400,0.021500,141.080322,29.679849
230,p,0.003780,0.004900,0.018500,20.657471,27.179849
231,sp,0.018754,0.014850,0.018500,37.787109,52.103690
232,d,0.002385,0.076950,0.018500,46.895264,97.835393
233,sd,0.018668,0.045350,0.018500,55.308838,82.517773
234,ps,0.002840,0.006900,0.021500,74.287109,31.239786
235,p,0.003780,0.008200,0.018500,34.724365,30.479849
236,sp,0.018754,0.013850,0.020000,50.584717,52.603690
237,psp,0.002926,0.051900,0.019200,69.792480,74.025658
238,p,0.003780,0.012450,0.018500,94.192139,34.729849
239,dp,0.002464,0.010450,0.020000,106.978760,32.914344
240,d,0.002385,0.004450,0.018500,25.955811,25.335393
241,d,0.002385,0.027050,0.018500,34.888428,47.935393
242,pd,0.002977,0.011500,0.022000,54.491699,36.477001
243,d,0.002385,0.005550,0.021500,70.799805,29.435393
244,pdd,0.003045,0.025750,0.019200,91.429688,47.994804
250,p,0.003780,0.005200,0.021500,21.320312,30.479849
251,p,0.003780,0.058600,0.020000,49.888184,82.379849
252,dp,0.002464,0.008550,0.019200,62.803223,30.214344
253,p,0.003780,0.005450,0.022000,84.433594,31.229849
254,d,0.002385,0.009300,0.022000,97.277832,33.685393
255,d,0.002385,0.009600,0.019200,23.349365,31.185393
256,p,0.003780,0.005350,0.021500,51.976318,30.629849
257,pp,0.002838,0.004350,0.021500,79.526123,28.688325
258,d,0.002385,0.011050,0.019200,95.538818,32.635393
259,p,0.003780,0.004050,0.019200,114.853760,27.029849
245,d,0.002385,0.015300,0.019200,22.712402,36.885393
246,d,0.002385,0.085950,0.019200,31.859863,107.535393
247,sd,0.018668,0.045450,0.021500,38.879639,85.617773
248,ssd,0.018735,0.061250,0.018500,45.941162,98.484503
249,d,0.002385,0.013550,0.020000,54.160889,35.935393
260,d,0.002385,0.004350,0.021500,24.286621,28.235393
261,s,0.023128,0.067950,0.021500,31.997070,112.578351
262,d,0.002385,0.014850,0.022000,39.019043,39.235393
263,dd,0.002426,0.007900,0.021500,48.281250,31.825915
264,sdd,0.018511,0.011200,0.018500,57.379639,48.210933
270,s,0.023128,0.004950,0.018500,9.102539,46.578351
271,ds,0.002343,0.003950,0.019200,19.268799,25.492513
272,sds,0.018566,0.004250,0.021500,28.719482,44.316086
273,psds,0.002945,0.015650,0.022000,50.392822,40.595423
274,ss,0.018821,0.008150,0.021500,69.533936,48.470769
275,s,0.023128,0.004550,0.020000,23.481934,47.678351
276,ps,0.002840,0.023200,0.022000,46.845703,48.039786
277,ss,0.018821,0.005150,0.018500,56.128662,42.470769
278,ps,0.002840,0.005250,0.021500,78.662842,29.589786
279,pps,0.002854,0.010500,0.022000,109.435303,35.354053
265,d,0.002385,0.005200,0.019200,22.593262,26.785393
266,pd,0.002977,0.004250,0.019200,42.979248,26.427001
267,p,0.003780,0.010950,0.018500,73.609375,33.229849
268,spp,0.018537,0.023350,0.018500,89.683594,60.387181
269,psp,0.002926,0.068800,0.018500,110.731934,90.225658
280,p,0.003780,0.027450,0.020000,19.321289,51.229849
281,dp,0.002464,0.007850,0.020000,35.631592,30.314344
282,sdp,0.018492,0.029250,0.018500,43.779541,66.241971
283,p,0.003780,0.069750,0.018500,62.556885,92.029849
284,d,0.002385,0.008400,0.022000,75.168701,32.785393
290,p,0.003780,0.004750,0.022000,35.061035,30.529849
291,pp,0.002838,0.010000,0.019200,59.326904,32.038325
292,sp,0.018754,0.004550,0.021500,68.581055,44.803690
293,ssp,0.018787,0.005000,0.022000,79.798096,45.787195
294,pss,0.002833,0.010900,0.022000,100.266357,35.732709
285,s,0.023128,0.093500,0.021500,22.688477,138.128351
286,p,0.003780,0.004950,0.022000,41.796387,30.729849
287,pp,0.002838,0.005150,0.022000,65.509277,29.988325
288,dp,0.002464,0.004550,0.022000,81.510498,29.014344
289,pp,0.002838,0.012750,0.018500,101.034424,34.088325
295,s,0.023128,0.006750,0.020000,22.671387,49.878351
296,ss,0.018821,0.005600,0.022000,33.389648,46.420769
297,ss,0.018821,0.009500,0.021500,42.423584,49.820769
298,psss,0.002892,0.018250,0.022000,64.034180,43.142287
299,dss,0.002842,0.011000,0.020000,76.781494,33.841615
305,s,0.023128,0.035500,0.020000,19.728516,78.628351
306,s,0.023128,0.005550,0.018500,28.609131,47.178351
307,ss,0.018821,0.040200,0.021500,37.473877,80.520769
308,ss,0.018821,0.025050,0.022000,46.657715,65.870769
309,sssss,0.018222,0.071450,0.020000,54.518799,109.672320
300,p,0.003780,0.019550,0.020000,35.114258,43.329849
301,d,0.002385,0.004850,0.018500,47.983154,25.735393
302,p,0.003780,0.006150,0.019200,68.549561,29.129849
303,s,0.023128,0.066100,0.021500,77.762939,110.728351
304,sp,0.018754,0.014350,0.020000,85.711670,53.103690
310,p,0.003780,0.019200,0.021500,35.143799,44.479849
311,sp,0.018754,0.051000,0.022000,51.033691,91.753690
312,sp,0.018754,0.079450,0.022000,60.011475,120.203690
313,dsp,0.002685,0.022350,0.021500,67.094971,46.534513
314,p,0.003780,0.006000,0.021500,88.017090,31.279849
315,p,0.003780,0.004150,0.018500,34.816406,26.429849
316,p,0.003780,0.004100,0.018500,62.098633,26.379849
317,sp,0.018754,0.049050,0.021500,71.384277,89.303690
318,sp,0.018754,0.006000,0.021500,78.316650,46.253690
319,dsp,0.002685,0.006450,0.020000,87.609131,29.134513
320,p,0.003780,0.005500,0.019200,26.336670,28.479849
321,s,0.023128,0.003800,0.019200,35.463867,46.128351
322,sp,0.018754,0.005300,0.019200,43.763184,43.253690
323,sss,0.019288,0.023650,0.018500,54.203857,61.438093
324,ps,0.002840,0.005450,0.022000,74.479736,30.289786
325,s,0.023128,0.008750,0.020000,9.361572,51.878351
326,s,0.023128,0.013450,0.022000,18.273682,58.578351
327,s,0.023128,0.058650,0.021500,27.076904,103.278351
328,ps,0.002840,0.004300,0.019200,46.594238,26.339786
329,pps,0.002854,0.022300,0.020000,73.659424,45.154053
330,p,0.003780,0.004850,0.019200,35.376221,27.829849
331,dp,0.002464,0.012450,0.021500,58.257080,36.414344
332,d,0.002385,0.004750,0.018500,66.491455,25.635393
333,pd,0.002977,0.004550,0.021500,88.613525,29.027001
334,dp,0.002464,0.004200,0.021500,108.286621,28.164344
335,p,0.003780,0.007400,0.022000,34.315918,33.179849
336,sp,0.018754,0.005100,0.018500,50.281006,42.353690
337,ps,0.002840,0.005200,0.019200,70.681885,27.239786
338,dps,0.002445,0.005100,0.021500,86.862549,29.044936
339,pd,0.002977,0.013250,0.021500,106.325928,37.727001
345,s,0.023128,0.017850,0.021500,9.501953,62.478351
346,p,0.003780,0.003650,0.019200,31.152100,26.629849
347,dp,0.002464,0.003900,0.018500,47.681885,24.864344
348,ds,0.002343,0.015850,0.018500,57.174805,36.692513
349,dds,0.002685,0.017850,0.020000,65.505859,40.535273
350,d,0.002385,0.004950,0.018500,42.295898,25.835393
