request_id,request_type,access_rate
0,s,0.400000
1,p,0.800000
2,d,0.400000
3,s,0.400000
4,p,0.400000
5,s,0.400000
6,d,0.200000
7,p,0.600000
8,d,0.600000
9,p,0.600000
10,d,0.800000
11,s,0.600000
12,s,0.200000
13,s,0.600000
14,d,0.200000
15,s,0.600000
16,d,0.400000
17,d,0.200000
18,s,0.200000
19,p,0.600000
20,s,0.200000
21,d,0.400000
22,p,0.200000
23,s,0.200000
24,p,0.400000
25,p,0.400000
26,p,0.200000
27,s,0.600000
28,s,0.400000
29,d,0.800000
35,d,0.800000
36,p,0.800000
37,d,0.800000
38,s,0.400000
39,s,0.400000
30,s,0.600000
31,p,0.600000
32,d,0.200000
33,s,0.600000
34,s,0.200000
40,d,0.400000
41,s,0.400000
42,s,0.400000
43,p,0.800000
44,d,0.800000
45,d,0.400000
46,d,0.400000
47,d,0.600000
48,d,0.400000
49,d,0.600000
50,p,0.400000
51,d,0.400000
52,d,0.400000
53,s,0.600000
54,s,0.800000
55,s,0.400000
56,p,0.400000
57,p,0.200000
58,p,0.600000
59,p,0.600000
60,d,0.400000
61,s,0.400000
62,p,0.800000
63,d,0.600000
64,s,1.000000
70,p,0.800000
71,d,0.600000
72,p,0.400000
73,d,0.200000
74,p,0.600000
65,d,0.600000
66,d,0.400000
67,s,0.200000
68,p,0.400000
69,s,0.400000
75,s,0.600000
76,p,0.600000
77,s,0.600000
78,s,0.600000
79,p,0.800000
80,s,0.200000
81,d,0.400000
82,p,0.400000
83,d,0.600000
84,d,0.600000
85,p,0.600000
86,p,0.600000
87,d,0.400000
88,p,0.400000
89,p,0.200000
90,d,0.400000
91,s,0.800000
92,p,0.400000
93,s,0.600000
94,s,0.400000
95,s,0.600000
96,p,0.400000
97,d,0.600000
98,s,0.400000
99,s,0.800000
100,s,0.400000
101,p,0.400000
102,p,0.200000
103,p,0.600000
104,p,0.600000
110,p,0.400000
111,d,0.600000
112,s,0.800000
113,s,0.600000
114,s,0.400000
105,s,0.400000
106,d,0.600000
107,d,0.800000
108,p,0.200000
109,s,0.600000
120,s,0.400000
121,s,0.400000
122,d,0.200000
123,d,0.400000
124,s,0.200000
125,s,0.600000
126,d,0.400000
127,s,0.400000
128,s,0.400000
129,p,0.400000
115,s,0.800000
116,s,0.400000
117,p,0.400000
118,s,0.400000
119,p,0.600000
135,d,0.800000
136,p,0.400000
137,s,0.200000
138,p,0.600000
139,s,0.800000
130,s,0.200000
131,d,0.400000
132,d,0.800000
133,p,0.200000
134,p,0.400000
140,p,0.400000
141,d,0.800000
142,p,0.800000
143,d,0.400000
144,s,0.400000
145,d,0.800000
146,d,0.400000
147,p,0.600000
148,p,0.600000
149,p,0.600000
150,p,0.800000
151,d,0.400000
152,p,0.400000
153,s,0.600000
154,p,0.400000
155,d,0.600000
156,d,0.800000
157,d,0.400000
158,s,0.600000
159,s,0.600000
160,s,0.200000
161,d,0.400000
162,d,0.400000
163,s,0.200000
164,p,1.000000
165,d,0.600000
166,d,0.600000
167,s,0.600000
168,d,0.600000
169,d,0.400000
170,p,0.400000
171,p,0.600000
172,p,0.800000
173,p,0.800000
174,s,0.800000
175,d,0.600000
176,d,0.600000
177,s,0.200000
178,p,0.600000
179,p,1.000000
180,d,0.400000
181,p,0.600000
182,s,0.600000
183,s,0.600000
184,p,0.600000
185,p,0.400000
186,s,0.400000
187,p,0.400000
