episode,step,reward
0,1,0.028049
0,2,0.170846
0,3,0.073669
0,4,0.030532
0,5,0.069640
0,6,0.031838
0,7,0.057429
0,8,0.138684
0,9,0.134069
0,10,0.104028
0,11,0.163360
0,12,0.068656
0,13,0.017292
0,14,0.083664
0,15,0.017380
1,1,0.045863
1,2,0.030027
1,3,0.018954
1,4,0.060757
1,5,0.058659
1,6,0.014025
1,7,0.064317
1,8,0.056871
1,9,0.000000
1,10,0.086325
1,11,0.108952
1,12,0.009217
1,13,0.087038
1,14,0.074782
1,15,0.093386
2,1,0.163360
2,2,0.199999
2,3,0.184643
2,4,0.033732
2,5,0.112328
2,6,0.086656
2,7,0.093739
2,8,0.056955
2,9,0.091739
2,10,0.015166
2,11,0.099043
2,12,0.031991
2,13,0.014025
2,14,0.160045
2,15,0.149729
3,1,0.114218
3,2,0.101253
3,3,0.158554
3,4,0.092308
3,5,0.118600
3,6,0.108952
3,7,0.114810
3,8,0.065541
3,9,0.071311
3,10,0.134620
3,11,0.028049
3,12,0.082665
3,13,0.012836
3,14,0.101026
3,15,0.145433
4,1,0.099043
4,2,0.074782
4,3,0.177433
4,4,0.119653
4,5,0.139518
4,6,0.214245
4,7,0.151815
4,8,0.091164
4,9,0.058013
4,10,0.118372
4,11,0.106571
4,12,0.101253
4,13,0.014178
4,14,0.094652
4,15,0.057194
5,1,0.092595
5,2,0.122556
5,3,0.085368
5,4,0.118909
5,5,0.089922
5,6,0.014025
5,7,0.018392
5,8,0.107149
5,9,0.170792
5,10,0.103897
5,11,0.118170
5,12,0.145433
5,13,0.078453
5,14,0.093514
5,15,0.034321
6,1,0.049142
6,2,0.147567
6,3,0.038960
6,4,0.077962
6,5,0.071164
6,6,0.045863
6,7,0.074751
6,8,0.084798
6,9,0.069120
6,10,0.140558
6,11,0.119364
6,12,0.102929
6,13,0.034321
6,14,0.123553
6,15,0.101333
7,1,0.102929
7,2,0.151056
7,3,0.106759
7,4,0.127682
7,5,0.015963
7,6,0.078570
7,7,0.118205
7,8,0.174641
7,9,0.017012
7,10,0.128989
7,11,0.072631
7,12,0.079763
7,13,0.019162
7,14,0.098404
7,15,0.054478
8,1,0.133388
8,2,0.069901
8,3,0.071964
8,4,0.032496
8,5,0.075346
8,6,0.151202
8,7,0.072257
8,8,0.083830
8,9,0.072009
8,10,0.086888
8,11,0.148185
8,12,0.092071
8,13,0.000000
8,14,0.102880
8,15,0.138985
9,1,0.060757
9,2,0.064956
9,3,0.197302
9,4,0.036386
9,5,0.086810
9,6,0.108952
9,7,0.193264
9,8,0.158346
9,9,0.094571
9,10,0.070020
9,11,0.148185
9,12,0.090215
9,13,0.127650
9,14,0.143352
9,15,0.144450
10,1,0.173854
10,2,0.096351
10,3,0.087146
