episode,episodic_reward
0,1.050366
1,0.851300
2,0.852735
3,1.173397
4,1.090533
5,1.030158
6,1.096692
7,0.914636
8,0.978780
9,1.107931
10,1.413420
11,1.056730
12,1.131032
13,0.992138
14,0.898086
15,0.951446
16,1.267152
17,1.029685
18,1.073713
19,1.117952
20,1.081334
21,1.059650
22,1.146161
23,0.988083
24,1.128177
25,0.988447
26,1.012657
27,1.118649
28,1.129175
29,1.093169
30,0.957362
31,1.200795
32,1.232282
33,0.881792
34,1.147274
35,1.138095
36,0.972644
37,1.067510
38,1.031483
39,0.887433
40,1.396233
41,0.969663
42,1.201639
43,1.144425
44,1.050751
45,1.264305
46,1.031563
47,1.079610
48,1.182550
49,0.957782
50,1.239128
51,1.190981
52,0.916476
53,1.028710
54,1.117184
55,0.988574
56,1.287367
57,1.149203
58,1.034548
59,1.208782
60,0.992038
61,0.910055
62,0.867080
63,1.092329
64,1.266950
65,1.333434
66,1.268409
67,1.162309
68,0.988945
69,1.075071
70,1.387315
71,1.214696
72,1.060547
73,0.999650
74,1.200831
75,1.090061
76,1.089938
77,1.359870
78,1.300357
79,1.052833
80,1.114499
81,1.125076
82,1.198201
83,1.094780
84,1.229977
85,0.959906
86,1.247580
87,0.924953
88,1.656891
89,1.065251
90,1.319132
91,1.010662
92,1.084471
93,1.390888
94,1.210064
95,1.541612
96,0.855511
97,1.186736
98,1.334859
99,1.224150
100,1.465787
101,1.545842
102,1.004226
103,1.139574
104,1.286836
105,1.181458
106,1.174244
107,1.186756
108,1.167686
109,1.212098
110,1.016120
111,1.245151
112,1.242239
113,1.216616
114,1.256100
115,1.265964
116,1.415002
117,1.237580
118,1.340529
119,0.972792
120,1.290278
121,1.280505
122,1.145838
123,1.187607
124,1.127486
125,0.950075
126,1.260943
127,1.432104
128,1.214911
129,1.413160
130,1.084717
131,1.340125
132,1.444775
133,1.156480
134,1.337081
135,1.270020
136,1.039590
137,1.323550
138,1.083833
139,1.314272
140,1.288516
141,1.117548
142,1.196672
143,1.535118
144,1.459714
145,1.373251
146,1.182767
147,1.266109
148,1.240726
149,1.468275
150,1.090463
151,1.255950
152,1.142208
153,1.023917
154,1.243673
155,1.244119
156,1.534999
157,1.388858
158,1.169962
159,1.151393
160,1.381625
161,1.532797
162,1.166116
163,1.524902
164,1.313259
165,1.068168
166,1.577709
167,1.452056
168,1.363014
169,1.259547
170,1.259052
171,1.430147
172,1.264026
173,1.178830
174,1.540805
175,1.424797
176,1.477717
177,1.246515
178,1.277646
179,1.278022
180,1.361047
181,1.446201
182,1.323311
183,1.524525
184,1.497802
185,1.311949
186,1.195515
187,1.365267
188,1.129026
189,1.075297
190,1.238780
191,1.404155
192,1.380229
193,1.195900
194,1.524565
195,1.309350
196,1.085894
197,1.441680
198,1.275150
199,1.200301
200,1.181233
201,1.264518
202,1.313753
203,1.434255
204,1.474510
205,1.391840
206,1.430718
207,1.203792
208,1.327223
209,1.220421
210,1.393604
211,1.189758
212,1.310454
213,1.387806
214,1.399944
215,1.330758
216,1.314753
217,1.493821
218,1.255912
219,1.378938
220,1.207453
221,1.332918
222,1.368685
223,1.606603
224,1.266678
225,1.398717
226,1.403645
227,1.164350
228,1.482531
229,1.199117
230,1.551367
231,1.387039
232,1.409433
233,1.480152
234,1.346538
235,1.403603
236,1.109541
237,1.433169
238,1.494530
239,1.341222
240,1.355557
241,1.085939
242,1.427311
243,1.175685
244,1.487777
245,1.063362
246,1.040808
247,1.317354
248,1.550452
249,1.399231
250,1.511211
251,1.200527
252,1.293746
253,1.311295
254,1.564640
255,1.354122
256,1.331848
257,1.463711
258,1.416180
259,1.497639
260,1.348981
261,1.269009
262,1.362867
263,1.352878
264,1.507077
265,1.264828
266,1.543071
267,1.381073
268,1.376474
269,1.342168
270,1.170849
271,1.341138
272,1.225260
273,1.426657
274,1.465792
275,1.023947
276,1.614381
277,1.458713
278,1.384267
279,1.348828
280,1.268094
281,1.573156
282,1.563056
283,1.188630
284,1.672160
285,1.472649
286,1.314815
287,1.418022
288,1.481245
289,1.442436
290,1.528436
291,1.365048
292,1.319119
293,1.260097
294,1.362776
295,1.464038
296,1.420195
297,1.215666
298,1.369912
299,1.312429
300,1.415115
301,1.684694
302,1.323078
303,1.545708
304,1.342211
305,1.482807
306,1.583850
307,1.480799
308,1.380099
309,1.659671
310,1.369581
311,1.416737
312,1.598059
313,1.302951
314,1.287863
315,1.249228
316,1.300517
317,1.450517
318,1.498682
319,1.351080
320,1.550825
321,1.511355
322,1.374561
323,1.272177
324,1.159378
325,1.529831
326,1.337107
327,1.293683
328,1.497938
329,1.288249
330,1.679415
331,1.341663
332,1.302669
333,1.671189
334,1.438235
335,1.399561
336,1.417814
337,1.650180
338,1.416765
339,1.550785
340,1.572504
341,1.282769
342,1.587031
343,1.655762
344,1.677066
345,1.520543
346,1.451743
347,1.192808
348,1.541354
349,1.507934
350,1.325263
351,1.517120
352,1.642139
353,1.518059
354,1.264639
355,1.508035
356,1.549769
357,1.621217
358,1.397347
359,1.288063
360,1.483185
361,1.530333
362,1.368900
363,1.367256
364,1.533007
365,1.600330
366,1.364412
367,1.356347
368,1.495908
369,1.350832
370,1.451580
371,1.371662
372,1.309292
373,1.526959
374,1.620065
375,1.668767
376,1.406336
377,1.408705
378,1.541746
379,1.680180
380,1.340316
381,1.582838
382,1.445068
383,1.305006
384,1.524790
385,1.667444
386,1.515379
387,1.534639
388,1.564112
389,1.502668
390,1.357351
391,1.313984
392,1.674068
393,1.573696
394,1.507087
395,1.586079
396,1.433009
397,1.485991
398,1.732477
399,1.593940
400,1.528395
401,1.553648
402,1.544252
403,1.615453
404,1.655632
405,1.542379
406,1.719474
407,1.625819
408,1.685067
409,1.466385
410,1.381189
411,1.427871
412,1.588693
413,1.283653
414,1.423727
415,1.521445
416,1.483152
417,1.716205
418,1.681212
419,1.546523
420,1.627989
421,1.464303
422,1.682098
423,1.327239
424,1.604502
425,1.567496
426,1.564136
427,1.304112
428,1.637588
429,1.439978
430,1.564199
431,1.657080
432,1.529123
433,1.563826
434,1.486808
435,1.559113
436,1.773143
437,1.699941
438,1.491010
439,1.558807
440,1.459696
441,1.512733
442,1.526522
443,1.469761
444,1.531036
445,1.418022
446,1.417628
447,1.641790
448,1.685618
449,1.673338
450,1.672265
451,1.650843
452,1.601330
453,1.622015
454,1.502669
455,1.524116
456,1.578389
457,1.588259
458,1.573696
459,1.638001
460,1.575118
461,1.516358
462,1.648255
463,1.513050
464,1.612022
465,1.558644
466,1.458086
467,1.619866
468,1.469817
469,1.448351
470,1.463430
471,1.651787
472,1.362035
473,1.748134
474,1.593328
475,1.555404
476,1.505711
477,1.713399
478,1.589281
479,1.747320
480,1.352144
481,1.384703
482,1.674026
483,1.546597
484,1.724110
485,1.548186
486,1.623573
487,1.531830
488,1.594767
489,1.590259
490,1.399672
491,1.571978
492,1.546761
493,1.499830
494,1.544061
495,1.614146
496,1.680983
497,1.540958
498,1.532529
499,1.617092
500,1.529573
501,1.570314
502,1.439616
503,1.564245
504,1.552112
505,1.549204
506,1.505641
507,1.696075
508,1.524408
509,1.405308
510,1.521760
511,1.655187
512,1.540081
513,1.657374
514,1.634252
515,1.514278
516,1.928793
517,1.589587
518,1.722716
519,1.568329
520,1.625111
521,1.700070
522,1.564356
523,1.639663
524,1.594626
525,1.543338
526,1.586886
527,1.537542
528,1.535722
529,1.645320
530,1.355136
531,1.566942
532,1.654485
533,1.627262
534,1.638040
535,1.671268
536,1.758080
537,1.395193
538,1.476678
539,1.504650
540,1.531748
541,1.646573
542,1.465357
543,1.464572
544,1.566068
