request_id,request_type,access_rate
7815,s,0.400000
7816,s,0.800000
7817,d,0.400000
7818,d,0.200000
7819,p,0.600000
7820,d,0.800000
7821,d,0.800000
7822,s,0.600000
7823,p,0.600000
7824,p,0.600000
7830,d,1.000000
7831,d,0.200000
7832,p,0.400000
7833,p,0.800000
7834,s,0.400000
7825,s,0.400000
7826,s,0.400000
7827,d,0.600000
7828,s,0.400000
7829,d,0.400000
7835,d,0.400000
7836,s,0.200000
7837,s,0.600000
7838,p,0.200000
7839,d,0.200000
7840,d,0.600000
7841,s,0.400000
7842,d,0.400000
7843,d,0.600000
7844,d,0.400000
0,s,0.600000
1,d,0.200000
2,p,0.200000
3,d,0.800000
4,s,0.400000
5,s,0.200000
6,d,0.200000
7,s,0.400000
8,d,0.400000
9,d,0.400000
15,p,0.200000
16,p,0.400000
17,p,0.200000
18,s,0.400000
19,s,0.400000
10,d,0.400000
11,s,0.800000
12,d,0.200000
13,d,0.400000
14,s,0.800000
7850,p,1.000000
7851,p,0.600000
7852,s,0.600000
7853,s,0.600000
7854,p,0.200000
7845,p,0.400000
7846,p,0.200000
7847,p,0.800000
7848,s,0.400000
7849,p,0.200000
20,d,0.400000
21,s,0.600000
22,d,0.200000
23,s,0.600000
24,d,0.400000
25,d,0.200000
26,s,0.800000
27,d,0.200000
28,s,0.800000
29,s,0.800000
7860,s,0.600000
7861,p,0.600000
7862,s,0.400000
7863,p,0.600000
7864,d,0.400000
7855,p,0.600000
7856,d,0.400000
7857,s,0.600000
7858,d,0.200000
7859,d,0.600000
7865,s,0.600000
7866,s,0.600000
7867,s,0.600000
7868,s,0.600000
7869,s,0.400000
35,p,0.400000
36,s,0.600000
37,d,0.200000
38,s,0.800000
39,s,0.200000
30,p,0.400000
31,d,0.200000
32,s,0.400000
33,d,0.600000
34,p,0.600000
40,d,0.600000
41,s,0.400000
42,s,0.600000
43,p,0.800000
44,s,0.400000
7870,d,0.200000
7871,p,0.200000
7872,p,0.400000
7873,p,0.400000
7874,d,0.400000
7875,d,0.800000
7876,s,0.200000
7877,s,0.600000
7878,d,0.600000
7879,d,0.400000
7880,d,0.400000
7881,d,0.600000
7882,s,0.200000
7883,p,0.200000
7884,d,0.400000
7885,d,0.400000
7886,d,0.200000
7887,p,0.600000
7888,d,0.800000
7889,d,0.200000
45,s,0.400000
46,p,0.600000
47,d,0.600000
48,s,0.600000
49,d,0.600000
50,d,0.600000
51,d,0.600000
52,s,0.600000
53,d,0.200000
54,s,0.600000
55,d,0.400000
56,p,0.200000
57,s,0.600000
58,s,0.800000
59,p,0.400000
7895,s,0.800000
7896,d,0.200000
7897,p,0.600000
7898,s,0.400000
7899,p,0.400000
7890,p,0.600000
7891,p,0.200000
7892,s,0.200000
7893,d,0.400000
7894,s,0.600000
7900,d,0.600000
7901,s,0.600000
7902,s,0.400000
7903,p,1.000000
7904,p,0.600000
60,p,0.800000
61,d,0.800000
62,p,0.600000
63,s,0.400000
64,s,0.600000
65,d,0.800000
66,d,0.600000
67,d,0.800000
68,s,0.600000
69,d,0.200000
70,p,0.600000
71,d,0.200000
72,d,0.600000
73,p,0.800000
74,p,0.600000
75,d,0.600000
76,d,0.400000
77,p,0.400000
78,p,0.400000
79,p,0.400000
7905,p,0.400000
7906,s,0.600000
7907,d,0.400000
7908,d,0.800000
7909,s,0.400000
7910,d,0.800000
7911,p,1.000000
7912,s,0.400000
7913,s,0.400000
7914,s,0.400000
7920,s,0.800000
7921,p,0.400000
7922,d,0.800000
7923,p,0.600000
7924,p,0.400000
7915,p,0.400000
7916,d,0.600000
7917,s,0.600000
7918,d,0.600000
7919,d,1.000000
80,s,0.600000
81,s,0.200000
82,p,0.400000
83,s,0.200000
84,s,0.400000
90,s,0.200000
91,s,0.400000
92,d,0.600000
93,s,0.400000
94,p,0.800000
85,d,0.800000
86,d,0.800000
87,p,0.400000
88,p,0.600000
89,p,0.400000
7925,s,0.800000
7926,s,0.400000
7927,d,0.600000
7928,p,0.400000
7929,d,0.400000
7930,d,0.400000
7931,s,0.200000
7932,s,0.600000
7933,s,0.400000
7934,s,0.200000
95,d,0.200000
96,s,0.600000
97,s,0.400000
98,s,0.400000
99,d,0.800000
100,d,0.400000
101,s,0.600000
102,p,0.600000
103,p,0.200000
104,p,0.600000
105,p,0.400000
106,p,0.600000
107,s,0.400000
108,d,0.800000
109,d,0.200000
7940,s,0.400000
7941,d,0.600000
7942,d,0.400000
7943,p,0.600000
7944,p,0.200000
7935,p,0.400000
7936,p,0.200000
7937,s,0.200000
7938,s,0.600000
7939,d,0.400000
7945,p,0.600000
7946,s,0.800000
7947,p,0.400000
7948,s,0.600000
7949,p,0.400000
110,d,0.800000
111,d,0.200000
112,p,0.600000
113,d,0.800000
114,d,0.800000
115,d,0.600000
116,d,0.600000
117,p,0.400000
118,s,0.200000
119,d,0.600000
120,s,0.200000
121,d,0.800000
122,p,0.400000
123,p,0.800000
124,p,0.400000
7955,p,0.800000
7956,d,0.400000
7957,s,0.400000
7958,p,0.600000
7959,s,0.400000
7950,p,0.600000
7951,s,0.400000
7952,d,0.200000
7953,d,0.600000
7954,p,0.200000
125,s,0.800000
126,p,1.000000
127,d,0.200000
128,s,0.200000
129,s,0.600000
130,d,0.600000
131,d,0.400000
132,s,0.400000
133,s,0.600000
134,s,0.400000
7960,d,0.600000
7961,s,0.400000
7962,d,0.600000
7963,d,0.200000
7964,p,0.400000
7965,s,0.600000
7966,p,0.400000
7967,p,0.600000
7968,p,0.200000
7969,d,0.600000
7970,p,0.600000
7971,s,0.400000
7972,p,0.400000
7973,p,0.400000
7974,d,0.600000
7975,p,0.800000
7976,p,0.400000
7977,s,0.800000
7978,s,0.600000
7979,d,0.200000
135,s,0.800000
136,d,0.600000
137,d,0.400000
138,d,0.800000
139,s,0.400000
140,s,0.800000
141,d,0.400000
142,p,0.200000
143,d,0.800000
144,d,0.400000
145,d,0.400000
146,p,0.200000
147,s,0.400000
148,s,0.600000
149,s,0.800000
7980,s,0.400000
7981,d,0.400000
7982,d,0.400000
7983,s,0.400000
7984,s,0.600000
7985,d,0.600000
7986,d,0.600000
7987,s,0.600000
7988,p,0.200000
7989,d,0.400000
150,p,0.800000
151,p,0.400000
152,p,0.400000
153,d,0.600000
154,d,0.800000
155,s,0.400000
156,d,0.800000
157,p,0.400000
158,s,0.600000
159,d,0.400000
160,d,0.600000
161,d,0.800000
162,s,0.600000
163,s,0.400000
164,p,0.400000
7995,s,0.400000
7996,p,0.600000
7997,d,0.800000
7998,p,0.200000
7999,p,0.600000
8000,p,0.600000
8001,d,0.200000
8002,s,0.600000
8003,d,0.600000
8004,p,0.600000
7990,s,0.400000
7991,p,0.200000
7992,p,0.200000
7993,d,0.200000
7994,s,0.400000
165,d,0.200000
166,p,0.400000
167,d,0.800000
168,p,0.400000
169,p,0.800000
170,s,0.600000
171,s,0.800000
172,s,0.800000
173,s,0.400000
174,d,0.600000
8005,s,0.400000
8006,p,0.400000
8007,s,0.400000
8008,p,0.600000
8009,d,0.800000
8010,d,0.800000
8011,d,0.800000
8012,d,0.400000
8013,s,0.400000
8014,d,0.800000
175,d,0.400000
176,p,0.400000
177,s,0.400000
178,s,0.200000
179,p,0.800000
180,d,0.600000
181,p,0.200000
182,d,0.800000
183,d,0.200000
184,d,0.600000
185,d,0.400000
186,d,0.400000
187,d,0.400000
188,s,0.800000
189,s,0.400000
190,p,0.400000
191,s,0.200000
192,p,0.600000
193,d,0.400000
194,s,0.800000
8015,s,0.200000
8016,s,0.600000
8017,d,0.400000
8018,d,0.400000
8019,s,0.400000
8020,d,0.200000
8021,s,0.800000
8022,p,0.400000
8023,d,0.600000
8024,p,0.600000
8025,d,0.200000
8026,d,0.400000
8027,s,0.800000
8028,p,0.400000
8029,s,0.600000
195,p,0.600000
196,p,0.800000
197,d,0.400000
198,d,0.800000
199,s,0.400000
200,p,0.400000
201,p,0.200000
202,d,0.600000
203,d,0.400000
204,p,0.800000
8040,d,0.400000
8041,p,0.400000
8042,s,0.400000
8043,d,0.600000
8044,d,0.400000
8030,s,0.400000
8031,d,0.400000
8032,d,0.400000
8033,d,0.400000
8034,d,0.800000
8035,s,0.400000
8036,s,0.800000
8037,s,0.800000
8038,p,0.600000
8039,p,0.600000
8045,d,0.400000
8046,p,0.400000
8047,s,0.400000
8048,p,0.400000
8049,s,0.600000
215,d,0.600000
216,s,0.600000
