episode,step,reward
0,1,0.031838
0,2,0.084841
0,3,0.021035
0,4,0.014064
0,5,0.081531
0,6,0.148185
0,7,0.206642
0,8,0.090073
0,9,0.092224
0,10,0.076288
0,11,0.204974
0,12,0.059638
0,13,0.110637
0,14,0.211784
0,15,0.072391
1,1,0.031838
1,2,0.060757
1,3,0.153477
1,4,0.073940
1,5,0.109361
1,6,0.049142
1,7,0.014025
1,8,0.068666
1,9,0.011379
1,10,0.041615
1,11,0.105931
1,12,0.058607
1,13,0.060622
1,14,0.126649
1,15,0.076526
2,1,0.133388
2,2,0.054434
2,3,0.009217
2,4,0.166128
2,5,0.026406
2,6,0.014025
2,7,0.010865
2,8,0.026253
2,9,0.068293
2,10,0.021592
2,11,0.051465
2,12,0.113172
2,13,0.034321
2,14,0.031838
2,15,0.010059
3,1,0.083229
3,2,0.151355
3,3,0.033806
3,4,0.073596
3,5,0.152489
3,6,0.225319
3,7,0.122173
3,8,0.125654
3,9,0.089440
3,10,0.017089
3,11,0.108952
3,12,0.009217
3,13,0.201118
3,14,0.029393
3,15,0.014444
4,1,0.099043
4,2,0.091571
4,3,0.019162
4,4,0.095188
4,5,0.116505
4,6,0.056789
4,7,0.141134
4,8,0.010865
4,9,0.098852
4,10,0.092011
4,11,0.133388
4,12,0.163087
4,13,0.113092
4,14,0.095697
4,15,0.085629
5,1,0.116367
5,2,0.093794
5,3,0.128992
5,4,0.041615
5,5,0.136461
5,6,0.133388
5,7,0.082317
5,8,0.091550
5,9,0.022816
5,10,0.079215
5,11,0.108952
5,12,0.092595
5,13,0.010865
5,14,0.142332
5,15,0.014683
6,1,0.108952
6,2,0.007528
6,3,0.060757
6,4,0.154070
6,5,0.145749
6,6,0.155832
6,7,0.072291
6,8,0.118331
6,9,0.194585
6,10,0.062483
6,11,0.007528
6,12,0.055685
6,13,0.102929
6,14,0.089552
6,15,0.096999
7,1,0.163360
7,2,0.000000
7,3,0.082680
7,4,0.092137
7,5,0.022733
7,6,0.099043
7,7,0.135059
7,8,0.016666
7,9,0.055685
7,10,0.115743
7,11,0.099043
7,12,0.059638
7,13,0.165415
7,14,0.136321
7,15,0.057677
8,1,0.074782
8,2,0.114510
8,3,0.101808
8,4,0.081360
8,5,0.108457
8,6,0.140018
8,7,0.098762
8,8,0.085322
8,9,0.013491
8,10,0.075950
8,11,0.098404
8,12,0.036386
8,13,0.102089
8,14,0.139895
8,15,0.070365
9,1,0.151202
9,2,0.019162
9,3,0.140459
9,4,0.074360
9,5,0.099744
9,6,0.164637
9,7,0.051465
9,8,0.053782
9,9,0.060679
9,10,0.071872
9,11,0.105931
9,12,0.068502
9,13,0.068666
9,14,0.177566
9,15,0.138274
10,1,0.216102
10,2,0.159342
10,3,0.144892
10,4,0.110158
10,5,0.043352
10,6,0.159180
10,7,0.147643
10,8,0.197570
