episode,episodic_reward
0,1.163221
1,0.965962
2,1.270893
3,1.141118
4,0.999162
5,1.270058
6,0.922942
7,0.965821
8,1.254749
9,1.312804
10,1.156517
11,1.556037
12,0.943044
13,1.136322
14,1.309525
15,1.139629
16,1.150195
17,1.282347
18,1.346354
19,1.130961
20,1.238250
21,1.283542
22,1.247607
23,1.117849
24,1.043815
25,1.096019
26,0.841932
27,1.308394
28,1.173744
29,1.225392
30,1.088441
31,0.965538
32,1.039796
33,1.140902
34,1.297770
35,1.067462
36,0.897159
37,0.996241
38,0.907902
39,1.070872
40,1.219982
41,1.108985
42,1.062497
43,1.025827
44,1.156715
45,1.120146
46,1.025689
47,0.922647
48,1.008188
49,1.012439
50,1.286639
51,1.208159
52,1.130308
53,1.208490
54,1.046004
55,0.910773
56,1.111034
57,1.007312
58,1.061742
59,1.057235
60,1.005604
61,1.066398
62,1.010014
63,1.298785
64,1.241824
65,1.133198
66,1.182382
67,1.035980
68,1.175262
69,1.341291
70,1.118917
71,1.406540
72,1.300911
73,1.163751
74,1.477235
75,1.167201
76,1.184018
77,1.282513
78,1.171107
79,1.093044
80,1.163265
81,1.022417
82,1.041630
83,1.235861
84,1.060954
85,1.290267
86,1.290327
87,1.173069
88,1.382307
89,1.084515
90,1.330356
91,1.166068
92,1.368958
93,1.303494
94,1.354982
95,1.172272
96,1.197348
97,1.288448
98,1.259945
99,1.328400
100,1.456692
101,1.253944
102,1.246922
103,1.286172
104,1.384038
105,1.321011
106,1.364397
107,1.238344
108,1.463183
109,1.173135
110,1.226564
111,1.047412
112,1.296518
113,1.395873
114,1.312836
115,1.407673
116,1.377526
117,1.470557
118,1.231561
119,1.122409
120,1.274604
121,1.307908
122,1.203374
123,1.406535
124,1.232748
125,1.315236
126,1.290204
127,1.247112
128,1.353299
129,1.326250
130,1.219022
131,1.255292
132,1.223072
133,1.147431
134,1.307460
135,1.191043
136,1.396760
137,1.115574
138,1.252155
139,1.261593
140,1.218271
141,1.113010
142,1.325633
143,1.075937
144,1.152915
145,1.164995
146,1.356357
147,1.178566
148,1.206061
149,1.416327
150,1.253738
151,1.312245
152,1.307864
153,1.282563
154,1.418575
155,1.308126
156,1.198345
157,1.350577
158,1.331126
159,1.228160
160,1.343517
161,1.166079
162,1.179743
163,1.177944
164,1.273445
165,1.213137
166,1.326894
167,1.252631
168,1.302831
169,1.547584
170,1.209742
171,1.209701
172,1.066522
173,1.329534
174,1.184229
175,1.332697
176,1.191707
177,1.126794
178,1.352336
179,1.383692
180,1.367805
181,1.612905
182,1.281113
183,1.375946
184,1.358895
185,1.616642
186,1.399995
187,1.356942
188,1.428137
189,1.264397
190,1.119091
191,1.335521
192,1.252825
193,1.322151
194,1.516186
195,1.416948
196,1.180943
197,1.506025
198,1.350631
199,1.228932
200,1.408429
201,1.346180
202,1.276892
203,1.344333
204,1.370868
205,1.421384
206,1.392265
207,1.392566
208,1.304344
209,1.319682
210,1.287367
211,1.611969
212,1.470678
213,1.271293
214,1.311999
215,1.299860
216,1.286694
217,1.260639
218,1.147063
219,1.178664
220,1.391260
221,1.511040
222,1.300333
223,1.370568
224,1.229913
225,1.347907
226,1.129873
227,1.381491
228,1.369491
229,1.387547
230,1.452080
231,1.322590
232,1.440697
233,1.173931
234,1.319757
235,1.230292
236,1.128232
237,1.223550
238,1.211558
239,1.467224
240,1.603266
241,1.371993
242,1.460599
243,1.218695
244,1.185244
245,1.245196
246,1.364627
247,1.294527
248,1.248837
249,1.476801
250,1.223876
251,1.415344
252,1.369952
253,1.535678
254,1.552698
255,1.408032
256,1.264982
257,1.220549
258,1.373837
259,1.170845
260,1.338151
261,1.502321
262,1.400326
263,1.375450
264,1.410946
265,1.193575
266,1.620024
267,1.459171
268,1.415716
269,1.327257
270,1.491186
271,1.439018
272,1.267010
273,1.417546
274,1.402286
275,1.488159
276,1.502073
277,1.379542
278,1.233797
279,1.436284
280,1.408414
281,1.434426
282,1.622312
283,1.334711
284,1.399510
285,1.311936
286,1.536828
287,1.219141
288,1.531798
289,1.318974
290,1.519627
291,1.256225
292,1.516016
293,1.490729
294,1.552914
295,1.277426
296,1.470200
297,1.574882
298,1.494804
299,1.493954
300,1.393984
301,1.311649
302,1.527053
303,1.469989
304,1.324628
305,1.463664
306,1.540894
307,1.437701
308,1.445278
309,1.491000
310,1.340232
311,1.388934
312,1.318786
313,1.353354
314,1.516775
315,1.321173
316,1.495045
317,1.310067
318,1.431307
319,1.534554
320,1.538758
321,1.491709
322,1.266299
323,1.485272
324,1.437973
325,1.421161
326,1.426254
327,1.490577
328,1.409949
329,1.602370
330,1.675706
331,1.250218
332,1.521808
333,1.238694
334,1.582207
335,1.454200
336,1.561044
337,1.475191
338,1.409390
339,1.574576
340,1.412087
341,1.690295
342,1.560491
343,1.364744
344,1.487808
345,1.459810
346,1.476735
347,1.339394
348,1.467149
349,1.689289
350,1.384741
351,1.506790
352,1.405636
353,1.524226
354,1.501582
355,1.504592
356,1.419969
357,1.538235
358,1.541274
359,1.376268
360,1.604365
361,1.441515
362,1.487880
363,1.485584
364,1.559325
365,1.399966
366,1.452146
367,1.481313
368,1.637651
369,1.317387
370,1.553874
371,1.525590
372,1.423149
373,1.466790
374,1.470900
375,1.494185
376,1.364000
377,1.473314
378,1.609741
379,1.639316
380,1.530192
381,1.448280
382,1.585931
383,1.587555
384,1.616094
385,1.480950
386,1.567949
387,1.537636
388,1.357761
389,1.333796
390,1.578873
391,1.363448
392,1.621330
393,1.465071
394,1.444200
395,1.352355
396,1.688410
397,1.534007
398,1.333446
399,1.297746
400,1.618623
401,1.581503
402,1.473597
403,1.680972
404,1.363239
405,1.397200
406,1.582942
407,1.510500
408,1.581866
409,1.536995
410,1.470560
411,1.475485
412,1.516515
413,1.523614
414,1.585894
415,1.514631
416,1.502282
417,1.536236
418,1.543146
419,1.580024
420,1.428353
421,1.309096
422,1.480467
423,1.550493
424,1.504471
425,1.498938
426,1.582376
427,1.578308
428,1.499235
429,1.434919
430,1.600713
431,1.677115
432,1.490015
433,1.672785
434,1.337238
435,1.560537
436,1.568478
437,1.709255
438,1.550276
439,1.535096
440,1.602464
441,1.681815
442,1.408745
443,1.482553
444,1.557490
445,1.481877
446,1.435718
447,1.574978
448,1.602298
449,1.653396
450,1.589418
451,1.381676
452,1.580192
453,1.610726
454,1.579631
455,1.722679
456,1.664972
457,1.501280
458,1.534458
459,1.449222
460,1.511480
461,1.540841
462,1.576758
463,1.548236
464,1.509103
465,1.443560
466,1.532241
467,1.519472
468,1.581288
469,1.511900
470,1.633566
471,1.540634
472,1.693646
473,1.621032
474,1.530546
475,1.522548
476,1.511797
477,1.594264
478,1.434275
479,1.460178
480,1.508842
481,1.492384
482,1.571232
483,1.548127
484,1.609099
485,1.444987
486,1.484673
487,1.623660
488,1.454040
489,1.573954
490,1.748593
491,1.465884
492,1.545200
493,1.683756
494,1.563481
495,1.696225
496,1.497178
497,1.640306
498,1.294622
499,1.604899
500,1.483395
501,1.570760
502,1.485924
503,1.483224
504,1.729139
505,1.377494
506,1.374499
507,1.724682
508,1.646759
509,1.438939
510,1.559894
511,1.604349
512,1.587683
513,1.606914
