request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,d,0.002385,0.004950,0.022000,19.803955,29.335393
1,dd,0.002426,0.012850,0.021500,29.791016,36.775915
2,s,0.023128,0.063300,0.019200,38.508057,105.628351
3,s,0.023128,0.011000,0.018500,47.338379,52.628351
4,s,0.023128,0.004150,0.019200,56.157715,46.478351
5,s,0.023128,0.004100,0.022000,6.951416,49.228351
6,s,0.023128,0.012250,0.018500,15.489014,53.878351
7,ss,0.018821,0.005450,0.022000,24.875977,46.270769
8,dss,0.002842,0.011100,0.021500,35.018799,35.441615
9,dss,0.002842,0.014150,0.018500,43.294678,35.491615
10,p,0.003780,0.008150,0.019200,35.549316,31.129849
11,sp,0.018754,0.011950,0.018500,48.178467,49.203690
12,ss,0.018821,0.006400,0.018500,58.075928,43.720769
13,sss,0.019288,0.005450,0.020000,65.887939,44.738093
14,dsss,0.003039,0.003800,0.020000,75.157959,26.838978
15,d,0.002385,0.006700,0.018500,23.327393,27.585393
16,p,0.003780,0.065750,0.020000,42.375244,89.529849
17,s,0.023128,0.013900,0.022000,54.996826,59.028351
18,ps,0.002840,0.018150,0.018500,74.230713,39.489786
19,p,0.003780,0.011700,0.022000,95.262207,37.479849
20,s,0.023128,0.005600,0.022000,19.719482,50.728351
21,p,0.003780,0.004550,0.022000,39.607910,30.329849
22,sp,0.018754,0.005500,0.022000,48.768311,46.253690
23,p,0.003780,0.010800,0.019200,70.503906,33.779849
24,sp,0.018754,0.010550,0.022000,89.874023,51.303690
25,d,0.002385,0.023600,0.020000,28.625244,45.985393
26,s,0.023128,0.011050,0.018500,38.356201,52.678351
27,ps,0.002840,0.010650,0.020000,57.719727,33.489786
28,pps,0.002854,0.010600,0.022000,78.460693,35.454053
29,pps,0.002854,0.034850,0.019200,108.868896,56.904053
35,d,0.002385,0.005200,0.019200,11.061768,26.785393
36,pd,0.002977,0.005400,0.018500,30.650635,26.877001
37,dp,0.002464,0.005500,0.020000,46.586914,27.964344
38,ddp,0.002502,0.004550,0.020000,55.900391,27.051712
39,ddd,0.002493,0.004950,0.018500,66.232422,25.943417
30,s,0.023128,0.038150,0.018500,6.354736,79.778351
31,ps,0.002840,0.010550,0.022000,28.934326,35.389786
32,pps,0.002854,0.005500,0.019200,56.399414,27.554053
33,dps,0.002445,0.076350,0.021500,69.371338,100.294936
34,dps,0.002445,0.014750,0.020000,76.460693,37.194936
45,s,0.023128,0.005200,0.018500,9.900879,46.828351
46,ps,0.002840,0.017400,0.021500,31.854492,41.739786
47,dps,0.002445,0.019750,0.021500,45.062012,43.694936
48,pds,0.003022,0.053400,0.022000,65.906006,78.421933
49,p,0.003780,0.005700,0.022000,90.173584,31.479849
40,s,0.023128,0.004750,0.019200,6.586670,47.078351
41,ps,0.002840,0.040100,0.018500,29.086914,61.439786
42,p,0.003780,0.004250,0.021500,56.163086,29.529849
43,dp,0.002464,0.004950,0.021500,66.979980,28.914344
44,pdps,0.002951,0.054400,0.021500,89.850342,78.850740
50,s,0.023128,0.009750,0.020000,6.513428,52.878351
51,ss,0.018821,0.071500,0.019200,16.422852,109.520769
52,s,0.023128,0.019750,0.021500,23.435791,64.378351
53,sss,0.019288,0.028300,0.019200,32.920166,66.788093
54,ps,0.002840,0.005650,0.022000,54.299072,30.489786
60,p,0.003780,0.005050,0.020000,36.936768,28.829849
61,pp,0.002838,0.004700,0.022000,64.627686,29.538325
62,sp,0.018754,0.014800,0.020000,80.504150,53.553690
63,sp,0.018754,0.044100,0.021500,88.344727,84.353690
64,p,0.003780,0.005250,0.021500,107.709717,30.529849
55,s,0.023128,0.019000,0.022000,23.108398,64.128351
56,p,0.003780,0.005150,0.019200,43.304688,28.129849
57,ps,0.002840,0.090350,0.022000,67.393555,115.189786
58,pp,0.002838,0.009150,0.018500,88.475830,30.488325
59,spp,0.018537,0.011700,0.022000,106.036133,52.237181
65,s,0.023128,0.045950,0.022000,22.635010,91.078351
66,p,0.003780,0.008450,0.021500,44.271729,33.729849
67,sp,0.018754,0.008950,0.020000,64.404297,47.703690
68,ssp,0.018787,0.008100,0.020000,72.555664,46.887195
69,pssp,0.002921,0.020900,0.022000,92.928711,45.821367
75,d,0.002385,0.005500,0.020000,23.387939,27.885393
76,pd,0.002977,0.008400,0.022000,45.147217,33.377001
77,d,0.002385,0.009050,0.022000,61.871094,33.435393
78,sd,0.018668,0.004600,0.019200,69.187500,42.467773
79,dsd,0.002613,0.005350,0.019200,79.408203,27.162551
70,s,0.023128,0.032600,0.022000,22.791748,77.728351
71,s,0.023128,0.006350,0.021500,31.826172,50.978351
72,pss,0.002833,0.025050,0.021500,55.085205,49.382709
73,ppss,0.002998,0.016500,0.018500,86.787598,37.997567
74,pp,0.002838,0.007550,0.022000,114.193604,32.388325
80,d,0.002385,0.011400,0.021500,23.542725,35.285393
81,p,0.003780,0.008500,0.020000,43.629150,32.279849
82,pp,0.002838,0.034600,0.020000,70.751465,57.438325
83,p,0.003780,0.004300,0.020000,98.191406,28.079849
84,pp,0.002838,0.004300,0.020000,125.667480,27.138325
85,d,0.002385,0.069100,0.020000,23.297852,91.485393
86,s,0.023128,0.005400,0.019200,30.810303,47.728351
87,s,0.023128,0.017600,0.019200,38.622070,59.928351
88,ps,0.002840,0.028250,0.020000,59.057129,51.089786
89,dps,0.002445,0.006950,0.021500,75.007812,30.894936
90,s,0.023128,0.010400,0.020000,19.860596,53.528351
91,ps,0.002840,0.071500,0.020000,40.784668,94.339786
92,s,0.023128,0.008250,0.021500,54.520752,52.878351
93,ps,0.002840,0.004150,0.019200,74.811768,26.189786
94,sps,0.018360,0.004850,0.019200,95.107178,42.410251
100,d,0.002385,0.009150,0.021500,23.316406,33.035393
101,dd,0.002426,0.010900,0.021500,32.025146,34.825915
102,p,0.003780,0.072450,0.018500,50.603271,94.729849
103,sd,0.018668,0.045550,0.021500,63.003662,85.717773
104,spd,0.018317,0.054400,0.018500,70.778076,91.217325
105,d,0.002385,0.014150,0.022000,12.945068,38.535393
106,p,0.003780,0.013300,0.021500,32.696289,38.579849
107,s,0.023128,0.004900,0.022000,49.052246,50.028351
108,ppd,0.002827,0.037800,0.020000,69.305664,60.626719
109,ss,0.018821,0.004950,0.019200,82.344971,42.970769
95,d,0.002385,0.007250,0.020000,23.465088,29.635393
96,s,0.023128,0.082100,0.018500,33.269531,123.728351
97,ds,0.002343,0.073250,0.021500,40.273682,97.092513
98,sd,0.018668,0.006000,0.020000,48.312256,44.667773
99,dsd,0.002613,0.013250,0.019200,58.478271,35.062551
120,s,0.023128,0.076550,0.019200,15.700195,118.878351
121,p,0.003780,0.018150,0.020000,37.690674,41.929849
122,s,0.023128,0.010000,0.020000,47.713379,53.128351
123,pp,0.002838,0.006750,0.018500,70.462646,28.088325
124,ss,0.018821,0.005250,0.022000,80.988037,46.070769
110,d,0.002385,0.010950,0.021500,23.434326,34.835393
111,s,0.023128,0.005150,0.022000,33.269531,50.278351
112,d,0.002385,0.017800,0.020000,41.290039,40.185393
113,pd,0.002977,0.083900,0.019200,61.562012,106.077001
114,sd,0.018668,0.046300,0.020000,71.150635,84.967773
115,s,0.023128,0.004650,0.019200,9.751709,46.978351
116,ss,0.018821,0.004200,0.022000,18.644043,45.020769
117,pss,0.002833,0.011000,0.018500,40.259033,32.332709
118,spss,0.018655,0.008100,0.020000,56.372559,46.755113
119,dps,0.002445,0.004750,0.018500,63.539795,25.694936
125,d,0.002385,0.007850,0.021500,22.633057,31.735393
126,dd,0.002426,0.028550,0.018500,32.458008,49.475915
127,dd,0.002426,0.004100,0.019200,41.671631,25.725915
128,ddd,0.002493,0.005400,0.022000,51.166504,29.893417
129,ddd,0.002493,0.004900,0.020000,61.379395,27.393417
130,d,0.002385,0.007150,0.019200,23.052002,28.735393
131,pd,0.002977,0.004400,0.021500,45.691406,28.877001
132,sp,0.018754,0.015550,0.020000,70.000244,54.303690
