request_id,request_type,access_rate
0,d,0.400000
1,d,0.400000
2,s,0.400000
3,s,0.400000
4,s,0.600000
5,s,0.400000
6,s,0.600000
7,s,0.800000
8,d,0.400000
9,d,0.400000
10,p,0.400000
11,s,0.800000
12,s,0.400000
13,s,0.600000
14,d,0.400000
15,d,0.200000
16,p,0.400000
17,s,0.400000
18,p,0.200000
19,p,0.600000
20,s,0.400000
21,p,0.200000
22,s,0.800000
23,p,0.600000
24,s,0.600000
25,d,0.400000
26,s,0.400000
27,p,0.200000
28,p,0.800000
29,p,0.400000
35,d,0.400000
36,p,0.600000
37,d,0.600000
38,d,0.800000
39,d,1.000000
30,s,0.800000
31,p,0.600000
32,p,0.400000
33,d,0.200000
34,d,0.600000
45,s,0.800000
46,p,0.400000
47,d,0.600000
48,p,0.400000
49,p,1.000000
40,s,0.600000
41,p,0.400000
42,p,0.200000
43,d,0.600000
44,p,0.200000
50,s,0.800000
51,s,0.200000
52,s,0.600000
53,s,0.400000
54,p,0.400000
60,p,0.600000
61,p,0.600000
62,s,0.400000
63,s,0.400000
64,p,0.600000
55,s,0.400000
56,p,0.400000
57,p,0.200000
58,p,0.600000
59,s,0.400000
65,s,0.600000
66,p,0.800000
67,s,0.400000
68,s,0.400000
69,p,0.200000
75,d,0.600000
76,p,0.600000
77,d,0.200000
78,s,0.600000
79,d,0.800000
70,s,0.400000
71,s,0.800000
72,p,0.800000
73,p,0.600000
74,p,0.600000
80,d,0.400000
81,p,0.600000
82,p,0.600000
83,p,0.600000
84,p,1.000000
85,d,0.200000
86,s,0.400000
87,s,0.600000
88,p,0.600000
89,d,0.400000
90,s,0.400000
91,p,0.400000
92,s,0.200000
93,p,0.800000
94,s,0.600000
100,d,0.400000
101,d,0.200000
102,p,0.400000
103,s,0.400000
104,s,0.400000
105,d,0.400000
106,p,0.600000
107,s,0.400000
108,p,0.400000
109,s,0.600000
95,d,0.600000
96,s,0.200000
97,d,0.400000
98,s,0.800000
99,d,0.600000
120,s,0.200000
121,p,0.200000
122,s,0.600000
123,p,0.200000
124,s,0.600000
110,d,0.600000
111,s,0.400000
112,d,0.400000
113,p,0.200000
114,s,0.200000
115,s,0.600000
116,s,0.800000
117,p,0.600000
118,s,0.200000
119,d,1.000000
125,d,0.600000
126,d,0.600000
127,d,0.600000
128,d,0.800000
129,d,1.000000
130,d,0.800000
131,p,0.800000
132,s,0.600000
133,p,0.400000
134,s,0.400000
135,d,0.400000
136,d,0.800000
137,s,0.600000
138,s,0.800000
139,d,0.600000
140,d,0.800000
141,d,0.600000
142,p,0.400000
143,d,0.400000
144,s,0.400000
145,s,0.200000
146,d,0.400000
147,p,0.400000
148,d,0.400000
149,s,0.200000
150,d,0.600000
151,s,0.400000
152,d,0.400000
153,p,0.600000
154,s,0.200000
160,p,0.600000
161,p,0.800000
162,s,0.400000
163,d,0.600000
164,s,0.800000
155,p,0.200000
156,d,0.600000
157,p,0.600000
158,s,0.600000
159,p,0.600000
165,d,0.800000
166,d,0.800000
167,d,1.000000
168,p,0.800000
169,p,0.200000
170,d,0.600000
171,p,0.400000
172,s,0.600000
173,d,0.800000
174,s,0.600000
175,s,0.600000
176,s,0.400000
177,s,0.600000
178,s,1.000000
179,p,0.400000
185,d,0.200000
186,d,0.800000
187,p,0.200000
188,s,0.200000
189,p,0.200000
180,d,0.800000
181,p,0.200000
182,s,0.400000
183,p,0.400000
184,p,0.400000
190,p,0.800000
191,s,0.800000
192,d,0.800000
193,p,0.800000
194,d,0.400000
195,p,0.400000
196,s,0.400000
197,d,0.600000
198,p,1.000000
199,p,0.400000
200,p,0.400000
201,s,0.200000
202,d,0.600000
203,s,0.200000
204,d,0.600000
205,d,0.400000
206,d,0.600000
207,d,0.200000
208,p,0.800000
209,s,0.600000
210,s,0.600000
211,p,0.800000
212,d,0.800000
213,s,0.600000
214,s,0.600000
215,p,0.800000
216,p,0.400000
217,d,0.600000
218,p,0.600000
219,d,0.600000
220,p,0.400000
221,d,0.800000
222,d,0.800000
223,s,1.000000
224,d,0.200000
225,s,0.400000
226,p,0.600000
227,p,0.600000
228,d,0.600000
229,s,0.600000
230,s,0.600000
231,d,0.400000
232,d,0.400000
233,s,0.400000
234,d,0.400000
235,d,0.400000
236,p,0.600000
237,p,0.600000
238,p,0.600000
239,p,0.600000
240,p,0.400000
241,p,1.000000
242,s,0.200000
243,p,0.800000
244,p,0.200000
245,p,0.200000
246,s,0.200000
247,p,0.800000
248,d,0.600000
249,p,0.600000
250,s,0.600000
251,d,0.600000
252,s,0.400000
253,d,0.400000
254,d,0.800000
255,s,0.800000
256,p,0.800000
257,p,0.800000
258,s,0.200000
259,p,0.600000
260,s,0.200000
261,p,0.600000
262,p,0.400000
263,d,0.800000
264,s,0.600000
265,p,0.600000
266,d,0.400000
267,p,0.400000
268,s,0.800000
269,d,0.600000
275,d,0.400000
276,d,0.600000
277,d,0.600000
278,d,0.400000
279,s,0.800000
270,s,0.600000
271,s,0.800000
272,p,0.400000
273,p,0.600000
274,s,0.400000
280,d,0.800000
281,s,0.800000
282,p,0.400000
283,d,0.800000
284,s,0.400000
285,d,0.800000
286,d,0.800000
287,s,0.400000
288,d,0.400000
289,s,0.400000
290,p,0.800000
291,s,0.200000
292,p,0.200000
293,s,0.200000
294,p,0.800000
295,d,0.800000
296,s,0.200000
297,s,0.200000
298,s,0.400000
299,d,0.600000
300,d,0.400000
301,s,0.800000
302,p,0.600000
303,s,0.400000
304,s,0.600000
305,p,0.400000
306,d,0.200000
307,d,0.200000
308,d,0.800000
309,d,0.800000
310,s,0.600000
311,d,0.800000
312,s,0.600000
313,d,0.800000
314,d,0.200000
315,d,0.600000
316,p,0.600000
317,p,0.400000
318,d,1.000000
319,p,0.600000
320,s,0.200000
321,p,0.800000
322,d,0.200000
323,s,0.800000
324,p,0.200000
325,s,1.000000
326,d,0.400000
327,s,0.200000
328,d,0.200000
329,s,0.400000
330,p,0.600000
331,p,0.600000
332,s,0.600000
333,s,0.600000
334,p,0.600000
335,s,0.600000
336,p,0.800000
337,s,0.400000
338,d,1.000000
339,p,0.600000
340,s,0.800000
341,p,0.600000
