episode,step,reward
0,1,0.098404
0,2,0.115580
0,3,0.077393
0,4,0.069021
0,5,0.124091
0,6,0.072631
0,7,0.093788
0,8,0.080876
0,9,0.028341
0,10,0.069537
0,11,0.107149
0,12,0.139225
0,13,0.023467
0,14,0.043956
0,15,0.065793
1,1,0.041615
1,2,0.066705
1,3,0.073085
1,4,0.028837
1,5,0.161794
1,6,0.031838
1,7,0.051465
1,8,0.132175
1,9,0.103773
1,10,0.089401
1,11,0.064317
1,12,0.068502
1,13,0.028837
1,14,0.179003
1,15,0.107029
2,1,0.098404
2,2,0.097069
2,3,0.152419
2,4,0.195275
2,5,0.257224
2,6,0.151202
2,7,0.103894
2,8,0.066664
2,9,0.017144
2,10,0.091436
2,11,0.104469
2,12,0.084522
2,13,0.092832
2,14,0.076882
2,15,0.218016
3,1,0.133388
3,2,0.111622
3,3,0.028837
3,4,0.132558
3,5,0.047689
3,6,0.151202
3,7,0.000000
3,8,0.134207
3,9,0.068417
3,10,0.087083
3,11,0.118170
3,12,0.141470
3,13,0.027978
3,14,0.112843
3,15,0.104450
4,1,0.072631
4,2,0.107149
4,3,0.028837
4,4,0.077285
4,5,0.030534
4,6,0.137177
4,7,0.174020
4,8,0.030738
4,9,0.068038
4,10,0.015452
4,11,0.140018
4,12,0.150745
4,13,0.041615
4,14,0.102696
4,15,0.091777
5,1,0.074782
5,2,0.140924
5,3,0.133384
5,4,0.113766
5,5,0.121544
5,6,0.049142
5,7,0.143536
5,8,0.147040
5,9,0.144450
5,10,0.235850
5,11,0.056789
5,12,0.072631
5,13,0.130452
5,14,0.096300
5,15,0.074739
6,1,0.031838
6,2,0.074751
6,3,0.014025
6,4,0.159244
6,5,0.050930
6,6,0.049142
6,7,0.033806
6,8,0.111254
6,9,0.074935
6,10,0.074749
6,11,0.049142
6,12,0.166939
6,13,0.028203
6,14,0.110657
6,15,0.073901
7,1,0.140018
7,2,0.017813
7,3,0.077314
7,4,0.101544
7,5,0.119010
7,6,0.058607
7,7,0.051465
7,8,0.092595
7,9,0.034321
7,10,0.130242
7,11,0.106571
7,12,0.028203
7,13,0.070280
7,14,0.053766
7,15,0.054478
8,1,0.086656
8,2,0.099882
8,3,0.081004
8,4,0.012684
8,5,0.169422
8,6,0.140018
8,7,0.099485
8,8,0.140240
8,9,0.196134
8,10,0.270396
8,11,0.148185
8,12,0.184921
8,13,0.130900
8,14,0.088149
8,15,0.069856
9,1,0.049142
9,2,0.212241
9,3,0.128236
9,4,0.110103
9,5,0.090343
9,6,0.199055
9,7,0.150377
9,8,0.093991
9,9,0.049142
9,10,0.058137
9,11,0.060757
9,12,0.096049
9,13,0.061706
9,14,0.112165
9,15,0.014025
10,1,0.140018
10,2,0.113084
10,3,0.061814
10,4,0.130567
10,5,0.012811
10,6,0.158614
10,7,0.156258
10,8,0.068949
10,9,0.112082
10,10,0.142669
10,11,0.051465
10,12,0.106571
10,13,0.150453
10,14,0.084168
10,15,0.096836
11,1,0.197447
11,2,0.159123
11,3,0.255437
11,4,0.185911
11,5,0.057061
11,6,0.140018
11,7,0.045604
11,8,0.087951
11,9,0.125704
11,10,0.047031
